model,accuracy
CLIP +Txt Enc (std),0.7094017094017094
CLIP MLP Only (std),0.6153846153846154
CLIP +Img Enc (std),0.5811965811965812
CLIP +Txt Enc (LLM),0.5811965811965812
OpenAI CLIP,0.4444444444444444
BERT +Txt Enc (LLM),0.37606837606837606
BERT Full (std),0.36752136752136755
CLIP MLP Only (LLM),0.36752136752136755
BERT MLP Only (LLM),0.3333333333333333
BiomedCLIP,0.3247863247863248
BERT +Txt Enc (std),0.3076923076923077
CLIP +Img Enc (LLM),0.2905982905982906
BERT MLP Only (std),0.26495726495726496
BERT +Img Enc (std),0.2564102564102564
BERT +Img Enc (LLM),0.24786324786324787
BERT Full (LLM),0.20512820512820512
CLIP Full (std),0.18803418803418803
CLIP Full (LLM),0.17094017094017094
