epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
1,1.2440366744995117,0.5508715018370334,0.5423728813559322,0.4196349324515388,CLIP +Img Enc (std),0.01,42,breast
2,0.9089609980583191,0.47396764941407793,0.5,0.4112918454509068,CLIP +Img Enc (std),0.01,42,breast
3,0.8145507574081421,0.45109449774109245,0.4915254237288136,0.406068136442802,CLIP +Img Enc (std),0.01,42,breast
4,0.6661921739578247,0.4468014313113981,0.3898305084745763,0.3484853221983295,CLIP +Img Enc (std),0.01,42,breast
1,1.0278059244155884,0.5225278228600488,0.4915254237288136,0.4502579717693869,CLIP +Img Enc (std),0.05,42,breast
2,0.9431359469890594,0.5490147944985985,0.5508474576271186,0.5032372030553067,CLIP +Img Enc (std),0.05,42,breast
3,0.8181247115135193,0.5547479536889837,0.4745762711864407,0.4455667032935229,CLIP +Img Enc (std),0.05,42,breast
4,0.6718641519546509,0.5914342763179973,0.5254237288135594,0.5187589519348341,CLIP +Img Enc (std),0.05,42,breast
1,1.1131398379802704,0.4961115481049036,0.4491525423728814,0.37299843604101557,CLIP +Img Enc (std),0.1,42,breast
2,0.9221237152814865,0.5703182303576821,0.5338983050847458,0.43795821836815135,CLIP +Img Enc (std),0.1,42,breast
3,0.7816245406866074,0.590917398631269,0.576271186440678,0.5543620406265293,CLIP +Img Enc (std),0.1,42,breast
4,0.593033030629158,0.5737135903041218,0.5338983050847458,0.5280637112309143,CLIP +Img Enc (std),0.1,42,breast
1,1.15470552444458,0.5605385489833165,0.2796610169491525,0.15965182602113911,CLIP Full (std),0.01,42,breast
2,1.1679320335388184,0.5585257293002309,0.3050847457627119,0.21096407794691954,CLIP Full (std),0.01,42,breast
3,1.101378083229065,0.5516535432544569,0.5423728813559322,0.4272400029075555,CLIP Full (std),0.01,42,breast
4,1.04427170753479,0.5474940837586186,0.5338983050847458,0.402677878206349,CLIP Full (std),0.01,42,breast
1,1.1500572562217712,0.547412649873198,0.288135593220339,0.2392464180837379,CLIP Full (std),0.05,42,breast
2,0.9703093469142914,0.5526237017412267,0.4491525423728814,0.4627470964471956,CLIP Full (std),0.05,42,breast
