average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,1,0.7254078283645863,0.5641025641025641,0.5660108080370745,BERT +Img Enc (LLM),fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.7254078283645863,0.5641025641025641,0.5660108080370745,BERT +Img Enc (LLM),fewshot_adaptation,0.01,42
macro,1,0.6677133497988802,0.49572649572649574,0.493011125444113,BERT +Img Enc (LLM),fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.6677133497988802,0.49572649572649574,0.493011125444113,BERT +Img Enc (LLM),fewshot_adaptation,0.01,43
macro,1,0.6813292478775708,0.452991452991453,0.48732733301309805,BERT +Img Enc (LLM),fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.6813292478775708,0.452991452991453,0.48732733301309805,BERT +Img Enc (LLM),fewshot_adaptation,0.01,44
macro,1,0.6819332170700637,0.5811965811965812,0.5708584715937658,BERT +Img Enc (LLM),fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.6819332170700637,0.5811965811965812,0.5708584715937658,BERT +Img Enc (LLM),fewshot_adaptation,0.01,45
macro,1,0.630134044757675,0.5213675213675214,0.5365269039609297,BERT +Img Enc (LLM),fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.630134044757675,0.5213675213675214,0.5365269039609297,BERT +Img Enc (LLM),fewshot_adaptation,0.01,46
macro,1,0.7637579021587698,0.5555555555555556,0.5719428432606728,BERT +Img Enc (LLM),fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.7637579021587698,0.5555555555555556,0.5719428432606728,BERT +Img Enc (LLM),fewshot_adaptation,0.05,42
macro,1,0.7424965944489473,0.6153846153846154,0.6200557535344356,BERT +Img Enc (LLM),fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.7424965944489473,0.6153846153846154,0.6200557535344356,BERT +Img Enc (LLM),fewshot_adaptation,0.05,43
macro,1,0.6362884151093332,0.5811965811965812,0.5756301341307828,BERT +Img Enc (LLM),fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.6362884151093332,0.5811965811965812,0.5756301341307828,BERT +Img Enc (LLM),fewshot_adaptation,0.05,44
macro,1,0.7248279749308356,0.5470085470085471,0.55091044221479,BERT +Img Enc (LLM),fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.7248279749308357,0.5470085470085471,0.55091044221479,BERT +Img Enc (LLM),fewshot_adaptation,0.05,45
macro,1,0.7783076919268715,0.5726495726495726,0.588304640309641,BERT +Img Enc (LLM),fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.7783076919268715,0.5726495726495726,0.588304640309641,BERT +Img Enc (LLM),fewshot_adaptation,0.05,46
macro,1,0.7318670450364305,0.6324786324786325,0.6341371634124515,BERT +Img Enc (LLM),fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.7318670450364305,0.6324786324786325,0.6341371634124515,BERT +Img Enc (LLM),fewshot_adaptation,0.1,42
macro,1,0.7692107507370071,0.6581196581196581,0.6701278180083043,BERT +Img Enc (LLM),fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.769210750737007,0.6581196581196581,0.6701278180083043,BERT +Img Enc (LLM),fewshot_adaptation,0.1,43
macro,1,0.7023906654147902,0.5982905982905983,0.6101528101528102,BERT +Img Enc (LLM),fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.7023906654147902,0.5982905982905983,0.6101528101528102,BERT +Img Enc (LLM),fewshot_adaptation,0.1,44
macro,1,0.7208378947252264,0.5555555555555556,0.5717364760843022,BERT +Img Enc (LLM),fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.7208378947252264,0.5555555555555556,0.5717364760843022,BERT +Img Enc (LLM),fewshot_adaptation,0.1,45
macro,1,0.6214760736389021,0.5470085470085471,0.5554847728760772,BERT +Img Enc (LLM),fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.6214760736389021,0.5470085470085471,0.5554847728760772,BERT +Img Enc (LLM),fewshot_adaptation,0.1,46
macro,1,0.6185079748292489,0.47863247863247865,0.48037778694015115,BERT +Img Enc (std),fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6185079748292489,0.47863247863247865,0.48037778694015115,BERT +Img Enc (std),fewshot_adaptation,0.01,42
macro,1,0.4509532416610839,0.3333333333333333,0.3754282844132286,BERT +Img Enc (std),fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.4509532416610839,0.3333333333333333,0.3754282844132286,BERT +Img Enc (std),fewshot_adaptation,0.01,43
macro,1,0.4710535111680046,0.27350427350427353,0.29524209695344694,BERT +Img Enc (std),fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.4710535111680046,0.27350427350427353,0.29524209695344694,BERT +Img Enc (std),fewshot_adaptation,0.01,44
macro,1,0.6347960987190154,0.4700854700854701,0.47473812736970633,BERT +Img Enc (std),fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.6347960987190154,0.4700854700854701,0.47473812736970633,BERT +Img Enc (std),fewshot_adaptation,0.01,45
macro,1,0.5585477537340428,0.3504273504273504,0.3707622125811552,BERT +Img Enc (std),fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.5585477537340428,0.3504273504273504,0.3707622125811552,BERT +Img Enc (std),fewshot_adaptation,0.01,46
macro,1,0.6787139501918561,0.5384615384615384,0.5482812285160494,BERT +Img Enc (std),fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.6787139501918561,0.5384615384615384,0.5482812285160494,BERT +Img Enc (std),fewshot_adaptation,0.05,42
macro,1,0.5602074304647916,0.4700854700854701,0.46901035045883355,BERT +Img Enc (std),fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.5602074304647916,0.4700854700854701,0.46901035045883355,BERT +Img Enc (std),fewshot_adaptation,0.05,43
macro,1,0.5665527073280164,0.358974358974359,0.3785498445001857,BERT +Img Enc (std),fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.5665527073280165,0.358974358974359,0.3785498445001857,BERT +Img Enc (std),fewshot_adaptation,0.05,44
macro,1,0.6710405557879783,0.5299145299145299,0.5247743058200575,BERT +Img Enc (std),fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.6710405557879783,0.5299145299145299,0.5247743058200575,BERT +Img Enc (std),fewshot_adaptation,0.05,45
macro,1,0.5263511411877263,0.4188034188034188,0.4265347128505023,BERT +Img Enc (std),fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.5263511411877263,0.4188034188034188,0.4265347128505023,BERT +Img Enc (std),fewshot_adaptation,0.05,46
macro,1,0.6425663227863248,0.5384615384615384,0.5454864907172599,BERT +Img Enc (std),fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.6425663227863248,0.5384615384615384,0.5454864907172599,BERT +Img Enc (std),fewshot_adaptation,0.1,42
macro,1,0.6309117648996508,0.5384615384615384,0.5302022903282385,BERT +Img Enc (std),fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.6309117648996508,0.5384615384615384,0.5302022903282385,BERT +Img Enc (std),fewshot_adaptation,0.1,43
macro,1,0.6495190216749169,0.5299145299145299,0.5463336324220122,BERT +Img Enc (std),fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.6495190216749169,0.5299145299145299,0.5463336324220122,BERT +Img Enc (std),fewshot_adaptation,0.1,44
macro,1,0.6922293141814896,0.5555555555555556,0.5589590964590965,BERT +Img Enc (std),fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.6922293141814896,0.5555555555555556,0.5589590964590965,BERT +Img Enc (std),fewshot_adaptation,0.1,45
macro,1,0.6042583370512002,0.49572649572649574,0.48241308879606754,BERT +Img Enc (std),fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.6042583370512002,0.49572649572649574,0.48241308879606754,BERT +Img Enc (std),fewshot_adaptation,0.1,46
macro,1,0.6806370468305434,0.5128205128205128,0.5062453620476767,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6806370468305434,0.5128205128205128,0.5062453620476767,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,42
macro,1,0.7394102956799347,0.5726495726495726,0.5809563178456417,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.7394102956799347,0.5726495726495726,0.5809563178456417,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,43
macro,1,0.6939362968594351,0.5897435897435898,0.6053494648965885,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.6939362968594351,0.5897435897435898,0.6053494648965885,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,44
macro,1,0.6090298557634918,0.46153846153846156,0.45463754352643243,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.6090298557634918,0.46153846153846156,0.45463754352643243,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,45
macro,1,0.6166580142502717,0.4700854700854701,0.4933986722414543,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.6166580142502717,0.4700854700854701,0.4933986722414543,BERT +Txt Enc (LLM),fewshot_adaptation,0.01,46
macro,1,0.7772285139633647,0.6581196581196581,0.658345877243515,BERT +Txt Enc (LLM),fewshot_adaptation,0.05,42
