model,metric,mean,ci_lower,ci_upper,n_organs
BERT +Img Enc (LLM),auroc,0.8009527495808935,0.8009527495808935,0.8009527495808935,1
BERT +Img Enc (LLM),accuracy,0.6495726495726496,0.6495726495726496,0.6495726495726496,1
BERT +Img Enc (LLM),f1_weighted,0.6541839698762776,0.6541839698762776,0.6541839698762776,1
BERT +Img Enc (std),auroc,0.7720371225632547,0.7720371225632547,0.7720371225632547,1
BERT +Img Enc (std),accuracy,0.6324786324786325,0.6324786324786325,0.6324786324786325,1
BERT +Img Enc (std),f1_weighted,0.643047514015256,0.643047514015256,0.643047514015256,1
BERT +Txt Enc (LLM),auroc,0.9061736984190611,0.9061736984190611,0.9061736984190611,1
BERT +Txt Enc (LLM),accuracy,0.7863247863247863,0.7863247863247863,0.7863247863247863,1
BERT +Txt Enc (LLM),f1_weighted,0.7863494411571335,0.7863494411571335,0.7863494411571335,1
BERT +Txt Enc (std),auroc,0.8284686768993336,0.8284686768993336,0.8284686768993336,1
BERT +Txt Enc (std),accuracy,0.6752136752136753,0.6752136752136753,0.6752136752136753,1
BERT +Txt Enc (std),f1_weighted,0.6816213093825295,0.6816213093825295,0.6816213093825295,1
BERT Full (LLM),auroc,0.8368900148112538,0.8368900148112538,0.8368900148112538,1
BERT Full (LLM),accuracy,0.6581196581196581,0.6581196581196581,0.6581196581196581,1
BERT Full (LLM),f1_weighted,0.6644750127728851,0.6644750127728851,0.6644750127728851,1
BERT Full (std),auroc,0.8427117538124141,0.8427117538124141,0.8427117538124141,1
BERT Full (std),accuracy,0.6837606837606838,0.6837606837606838,0.6837606837606838,1
BERT Full (std),f1_weighted,0.6894586894586894,0.6894586894586894,0.6894586894586894,1
BERT MLP Only (LLM),auroc,0.8877058937998369,0.8877058937998369,0.8877058937998369,1
BERT MLP Only (LLM),accuracy,0.7692307692307693,0.7692307692307693,0.7692307692307693,1
BERT MLP Only (LLM),f1_weighted,0.7733052855004073,0.7733052855004073,0.7733052855004073,1
BERT MLP Only (std),auroc,0.8040817083708113,0.8040817083708113,0.8040817083708113,1
BERT MLP Only (std),accuracy,0.6581196581196581,0.6581196581196581,0.6581196581196581,1
BERT MLP Only (std),f1_weighted,0.6618734668359014,0.6618734668359014,0.6618734668359014,1
BiomedCLIP,auroc,0.9520556792020959,0.9520556792020959,0.9520556792020959,1
BiomedCLIP,accuracy,0.8290598290598291,0.8290598290598291,0.8290598290598291,1
BiomedCLIP,f1_weighted,0.833038174865623,0.833038174865623,0.833038174865623,1
CLIP +Img Enc (LLM),auroc,0.9117788149893812,0.9117788149893812,0.9117788149893812,1
CLIP +Img Enc (LLM),accuracy,0.7692307692307693,0.7692307692307693,0.7692307692307693,1
CLIP +Img Enc (LLM),f1_weighted,0.7740097417516771,0.7740097417516771,0.7740097417516771,1
CLIP +Img Enc (std),auroc,0.7743307728942024,0.7743307728942024,0.7743307728942024,1
CLIP +Img Enc (std),accuracy,0.6153846153846154,0.6153846153846154,0.6153846153846154,1
CLIP +Img Enc (std),f1_weighted,0.6245680793804917,0.6245680793804917,0.6245680793804917,1
CLIP +Txt Enc (LLM),auroc,0.8273089163433944,0.8273089163433944,0.8273089163433944,1
CLIP +Txt Enc (LLM),accuracy,0.6752136752136753,0.6752136752136753,0.6752136752136753,1
CLIP +Txt Enc (LLM),f1_weighted,0.6761033157460502,0.6761033157460502,0.6761033157460502,1
CLIP +Txt Enc (std),auroc,0.9067219859616943,0.9067219859616943,0.9067219859616943,1
CLIP +Txt Enc (std),accuracy,0.7606837606837606,0.7606837606837606,0.7606837606837606,1
CLIP +Txt Enc (std),f1_weighted,0.7622756585113378,0.7622756585113378,0.7622756585113378,1
CLIP Full (LLM),auroc,0.8409681321837953,0.8409681321837953,0.8409681321837953,1
CLIP Full (LLM),accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
CLIP Full (LLM),f1_weighted,0.6689134185766152,0.6689134185766152,0.6689134185766152,1
CLIP Full (std),auroc,0.7641766941848784,0.7641766941848784,0.7641766941848784,1
CLIP Full (std),accuracy,0.5726495726495726,0.5726495726495726,0.5726495726495726,1
CLIP Full (std),f1_weighted,0.5871838707659602,0.5871838707659602,0.5871838707659602,1
CLIP MLP Only (LLM),auroc,0.8685728635483813,0.8685728635483813,0.8685728635483813,1
CLIP MLP Only (LLM),accuracy,0.7008547008547008,0.7008547008547008,0.7008547008547008,1
CLIP MLP Only (LLM),f1_weighted,0.7019449193445736,0.7019449193445736,0.7019449193445736,1
CLIP MLP Only (std),auroc,0.9016337414624221,0.9016337414624221,0.9016337414624221,1
CLIP MLP Only (std),accuracy,0.7521367521367521,0.7521367521367521,0.7521367521367521,1
CLIP MLP Only (std),f1_weighted,0.7534243534243535,0.7534243534243535,0.7534243534243535,1
OpenAI CLIP,auroc,0.9428446277179307,0.9428446277179307,0.9428446277179307,1
OpenAI CLIP,accuracy,0.8547008547008547,0.8547008547008547,0.8547008547008547,1
OpenAI CLIP,f1_weighted,0.8571287642600132,0.8571287642600132,0.8571287642600132,1
