group_type,group_name,model,accuracy,n_samples,n_labels,labels
organ,breast,OpenAI CLIP,0.4444444444444444,117,3,"benign, malignant, normal"
organ,breast,BiomedCLIP,0.3247863247863248,117,3,"benign, malignant, normal"
organ,breast,CLIP MLP Only (std),0.6153846153846154,117,3,"benign, malignant, normal"
organ,breast,CLIP +Img Enc (std),0.5811965811965812,117,3,"benign, malignant, normal"
organ,breast,CLIP +Txt Enc (std),0.7094017094017094,117,3,"benign, malignant, normal"
organ,breast,CLIP Full (std),0.18803418803418803,117,3,"benign, malignant, normal"
organ,breast,BERT MLP Only (std),0.26495726495726496,117,3,"benign, malignant, normal"
organ,breast,BERT +Img Enc (std),0.2564102564102564,117,3,"benign, malignant, normal"
organ,breast,BERT +Txt Enc (std),0.3076923076923077,117,3,"benign, malignant, normal"
organ,breast,BERT Full (std),0.36752136752136755,117,3,"benign, malignant, normal"
organ,breast,CLIP MLP Only (LLM),0.36752136752136755,117,3,"benign, malignant, normal"
organ,breast,CLIP +Img Enc (LLM),0.2905982905982906,117,3,"benign, malignant, normal"
organ,breast,CLIP +Txt Enc (LLM),0.5811965811965812,117,3,"benign, malignant, normal"
organ,breast,CLIP Full (LLM),0.17094017094017094,117,3,"benign, malignant, normal"
organ,breast,BERT MLP Only (LLM),0.3333333333333333,117,3,"benign, malignant, normal"
organ,breast,BERT +Img Enc (LLM),0.24786324786324787,117,3,"benign, malignant, normal"
organ,breast,BERT +Txt Enc (LLM),0.37606837606837606,117,3,"benign, malignant, normal"
organ,breast,BERT Full (LLM),0.20512820512820512,117,3,"benign, malignant, normal"
