file_name,caption,Label,caption_type
test/Benign/2_0.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/2_1.png,An ultrasound image of the thyroid with benign findings.,benign,tissue+condition
test/Benign/2_10.png,"A clinical ultrasound scan of the thyroid, categorized as benign.",benign,tissue+condition
test/Benign/2_11.png,This ultrasound image shows the thyroid with a benign label.,benign,tissue+condition
test/Benign/2_12.png,This ultrasound image shows the thyroid with a benign label.,benign,tissue+condition
test/Benign/2_13.png,Sonographic appearance of benign thyroid.,benign,tissue+condition
test/Benign/2_14.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/2_15.png,Ultrasound of the thyroid with benign appearance.,benign,tissue+condition
test/Benign/2_16.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/2_17.png,A grayscale ultrasound image demonstrating benign changes in the thyroid.,benign,tissue+condition
test/Benign/2_18.png,This sonogram of the thyroid is labeled benign.,benign,tissue+condition
test/Benign/2_19.png,An ultrasound image of the thyroid with benign findings.,benign,tissue+condition
test/Benign/2_2.png,An ultrasound image of the thyroid with benign findings.,benign,tissue+condition
test/Benign/2_20.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/2_21.png,This ultrasound image shows the thyroid with a benign label.,benign,tissue+condition
test/Benign/2_22.png,This ultrasound image shows the thyroid with a benign label.,benign,tissue+condition
test/Benign/2_23.png,Ultrasound of the thyroid with benign appearance.,benign,tissue+condition
test/Benign/2_24.png,A grayscale ultrasound image demonstrating benign changes in the thyroid.,benign,tissue+condition
test/Benign/2_25.png,An ultrasound image of the thyroid with benign findings.,benign,tissue+condition
test/Benign/2_26.png,Ultrasound of the thyroid with benign appearance.,benign,tissue+condition
test/Benign/2_27.png,This ultrasound image shows the thyroid with a benign label.,benign,tissue+condition
test/Benign/2_28.png,Ultrasound of the thyroid with benign appearance.,benign,tissue+condition
test/Benign/2_29.png,This sonogram of the thyroid is labeled benign.,benign,tissue+condition
test/Benign/2_3.png,This ultrasound image shows the thyroid with a benign label.,benign,tissue+condition
test/Benign/2_30.png,"A diagnostic ultrasound image of the thyroid, tagged as benign.",benign,tissue+condition
test/Benign/2_31.png,A grayscale ultrasound image demonstrating benign changes in the thyroid.,benign,tissue+condition
test/Benign/2_32.png,"A clinical ultrasound scan of the thyroid, categorized as benign.",benign,tissue+condition
test/Benign/2_33.png,An ultrasound image of the thyroid with benign findings.,benign,tissue+condition
test/Benign/2_34.png,Sonographic appearance of benign thyroid.,benign,tissue+condition
test/Benign/2_35.png,This sonogram of the thyroid is labeled benign.,benign,tissue+condition
test/Benign/2_36.png,Echographic appearance of the thyroid with benign features.,benign,tissue+condition
test/Benign/2_37.png,"A clinical ultrasound scan of the thyroid, categorized as benign.",benign,tissue+condition
test/Benign/2_38.png,Sonographic appearance of benign thyroid.,benign,tissue+condition
test/Benign/2_39.png,This ultrasound image shows the thyroid with a benign label.,benign,tissue+condition
test/Benign/2_4.png,Echographic appearance of the thyroid with benign features.,benign,tissue+condition
test/Benign/2_40.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/2_5.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/2_6.png,This sonogram of the thyroid is labeled benign.,benign,tissue+condition
test/Benign/2_7.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/2_8.png,Echographic appearance of the thyroid with benign features.,benign,tissue+condition
test/Benign/2_9.png,Echographic appearance of the thyroid with benign features.,benign,tissue+condition
test/Benign/3_0.png,A grayscale ultrasound image demonstrating benign changes in the thyroid.,benign,tissue+condition
test/Benign/3_1.png,"A clinical ultrasound scan of the thyroid, categorized as benign.",benign,tissue+condition
test/Benign/3_10.png,An ultrasound image of the thyroid with benign findings.,benign,tissue+condition
test/Benign/3_11.png,"A diagnostic ultrasound image of the thyroid, tagged as benign.",benign,tissue+condition
test/Benign/3_12.png,Ultrasound of the thyroid with benign appearance.,benign,tissue+condition
test/Benign/3_13.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/3_14.png,This sonogram of the thyroid is labeled benign.,benign,tissue+condition
test/Benign/3_15.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/3_16.png,Ultrasound of the thyroid with benign appearance.,benign,tissue+condition
test/Benign/3_17.png,"A clinical ultrasound scan of the thyroid, categorized as benign.",benign,tissue+condition
test/Benign/3_18.png,A grayscale ultrasound image demonstrating benign changes in the thyroid.,benign,tissue+condition
test/Benign/3_2.png,Echographic appearance of the thyroid with benign features.,benign,tissue+condition
test/Benign/3_3.png,A grayscale ultrasound image demonstrating benign changes in the thyroid.,benign,tissue+condition
test/Benign/3_4.png,This ultrasound image shows the thyroid with a benign label.,benign,tissue+condition
test/Benign/3_5.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Benign/3_6.png,An ultrasound image of the thyroid with benign findings.,benign,tissue+condition
test/Benign/3_7.png,This ultrasound image shows the thyroid with a benign label.,benign,tissue+condition
test/Benign/3_8.png,"A clinical ultrasound scan of the thyroid, categorized as benign.",benign,tissue+condition
test/Benign/3_9.png,"A B-mode ultrasound of the thyroid, labeled benign.",benign,tissue+condition
test/Malignant/4A_0.png,This ultrasound image shows the thyroid with a malignant label.,malignant,tissue+condition
test/Malignant/4A_1.png,"A B-mode ultrasound of the thyroid, labeled malignant.",malignant,tissue+condition
