image_path,text_caption,label
benign/benign (1).png,An ultrasound image of breast with benign findings.,benign
benign/benign (10).png,An ultrasound image of breast with benign findings.,benign
benign/benign (100).png,An ultrasound image of breast with benign findings.,benign
benign/benign (101).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (102).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (103).png,Sonographic appearance of benign breast.,benign
benign/benign (104).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (105).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (106).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (107).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (108).png,An ultrasound image of breast with benign findings.,benign
benign/benign (109).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (11).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (110).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (111).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (112).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (113).png,An ultrasound image of breast with benign findings.,benign
benign/benign (114).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (115).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (116).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (117).png,An ultrasound image of breast with benign findings.,benign
benign/benign (118).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (119).png,An ultrasound image of breast with benign findings.,benign
benign/benign (12).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (120).png,Sonographic appearance of benign breast.,benign
benign/benign (121).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (122).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (123).png,An ultrasound image of breast with benign findings.,benign
benign/benign (124).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (125).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (126).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (127).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (128).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (129).png,Sonographic appearance of benign breast.,benign
benign/benign (13).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (130).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (131).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (132).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (133).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (134).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (135).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (136).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (137).png,An ultrasound image of breast with benign findings.,benign
benign/benign (138).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (139).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (14).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (140).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (141).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (142).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (143).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (144).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (145).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (146).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (147).png,An ultrasound image of breast with benign findings.,benign
benign/benign (148).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (149).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (15).png,Sonographic appearance of benign breast.,benign
benign/benign (150).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (151).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (152).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (153).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (154).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (155).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (156).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (157).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (158).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (159).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (16).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (160).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (161).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (162).png,An ultrasound image of breast with benign findings.,benign
benign/benign (163).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (164).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (165).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (166).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (167).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (168).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (169).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (17).png,An ultrasound image of breast with benign findings.,benign
benign/benign (170).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (171).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (172).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (173).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (174).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (175).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (176).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (177).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (178).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (179).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (18).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (180).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (181).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (182).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (183).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (184).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (185).png,Sonographic appearance of benign breast.,benign
benign/benign (186).png,An ultrasound image of breast with benign findings.,benign
benign/benign (187).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (188).png,An ultrasound image of breast with benign findings.,benign
benign/benign (189).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (19).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (190).png,An ultrasound image of breast with benign findings.,benign
benign/benign (191).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (192).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (193).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (194).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (195).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (196).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (197).png,An ultrasound image of breast with benign findings.,benign
benign/benign (198).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (199).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (2).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (20).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (200).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (201).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (202).png,An ultrasound image of breast with benign findings.,benign
benign/benign (203).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (204).png,An ultrasound image of breast with benign findings.,benign
benign/benign (205).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (206).png,An ultrasound image of breast with benign findings.,benign
benign/benign (207).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (208).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (209).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (21).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (210).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (211).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (212).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (213).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (214).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (215).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (216).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (217).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (218).png,An ultrasound image of breast with benign findings.,benign
benign/benign (219).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (22).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (220).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (221).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (222).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (223).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (224).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (225).png,An ultrasound image of breast with benign findings.,benign
benign/benign (226).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (227).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (228).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (229).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (23).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (230).png,An ultrasound image of breast with benign findings.,benign
benign/benign (231).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (232).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (233).png,An ultrasound image of breast with benign findings.,benign
benign/benign (234).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (235).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (236).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (237).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (238).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (239).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (24).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (240).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (241).png,An ultrasound image of breast with benign findings.,benign
benign/benign (242).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (243).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (244).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (245).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (246).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (247).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (248).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (249).png,Sonographic appearance of benign breast.,benign
benign/benign (25).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (250).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (251).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (252).png,An ultrasound image of breast with benign findings.,benign
benign/benign (253).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (254).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (255).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
