model,paired_similarity,cross_pair_similarity
CLIP +Txt Enc (std),0.688086211681366,0.6420597434043884
CLIP +Img Enc (std),0.6877170205116272,0.6632224321365356
BERT Full (LLM),0.6388129591941833,0.6367670297622681
CLIP MLP Only (std),0.5930646657943726,0.5469399094581604
BERT Full (std),0.523993194103241,0.5145444273948669
CLIP Full (std),0.5026541948318481,0.5004175901412964
BiomedCLIP,0.4192373752593994,0.41603201627731323
BERT +Img Enc (std),0.3772803544998169,0.3673413097858429
BERT +Img Enc (LLM),0.35934150218963623,0.35798606276512146
OpenAI CLIP,0.3287956416606903,0.3280077874660492
BERT MLP Only (LLM),0.3118017017841339,0.30967047810554504
BERT MLP Only (std),0.25743192434310913,0.25332188606262207
CLIP Full (LLM),0.20915766060352325,0.20915767550468445
BERT +Txt Enc (LLM),0.19651174545288086,0.196137934923172
BERT +Txt Enc (std),0.16526304185390472,0.16572606563568115
CLIP +Img Enc (LLM),0.14190198481082916,0.1471068561077118
CLIP +Txt Enc (LLM),0.09816774725914001,0.09315351396799088
CLIP MLP Only (LLM),0.0917692556977272,0.08228380233049393
