average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,1,0.681731019443457,0.5726495726495726,0.5688692593955752,BERT +Img Enc (LLM),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.681731019443457,0.5726495726495726,0.5688692593955752,BERT +Img Enc (LLM),fewshot_e2e,0.01,42
macro,1,0.6637356122664456,0.5470085470085471,0.5010281184194227,BERT +Img Enc (LLM),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.6637356122664456,0.5470085470085471,0.5010281184194227,BERT +Img Enc (LLM),fewshot_e2e,0.05,42
macro,1,0.7299606940589426,0.5811965811965812,0.5256725256725256,BERT +Img Enc (LLM),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.7299606940589426,0.5811965811965812,0.5256725256725256,BERT +Img Enc (LLM),fewshot_e2e,0.1,42
macro,1,0.5638638587034647,0.36752136752136755,0.36942662071044735,BERT +Img Enc (std),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.5638638587034647,0.36752136752136755,0.36942662071044735,BERT +Img Enc (std),fewshot_e2e,0.01,42
macro,1,0.5927265362842723,0.5042735042735043,0.4249084249084249,BERT +Img Enc (std),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.5927265362842723,0.5042735042735043,0.4249084249084249,BERT +Img Enc (std),fewshot_e2e,0.05,42
macro,1,0.6395092299914018,0.5213675213675214,0.4796628492280666,BERT +Img Enc (std),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.6395092299914018,0.5213675213675214,0.4796628492280666,BERT +Img Enc (std),fewshot_e2e,0.1,42
macro,1,0.6647126922066565,0.5641025641025641,0.42227177009785705,BERT +Txt Enc (LLM),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.6647126922066565,0.5641025641025641,0.42227177009785705,BERT +Txt Enc (LLM),fewshot_e2e,0.01,42
macro,1,0.5700616288429631,0.5641025641025641,0.40689365279529216,BERT +Txt Enc (LLM),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.5700616288429631,0.5641025641025641,0.40689365279529216,BERT +Txt Enc (LLM),fewshot_e2e,0.05,42
macro,1,0.6380155304153663,0.5641025641025641,0.40689365279529216,BERT +Txt Enc (LLM),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.6380155304153663,0.5641025641025641,0.40689365279529216,BERT +Txt Enc (LLM),fewshot_e2e,0.1,42
macro,1,0.571932691505444,0.5641025641025641,0.40689365279529216,BERT +Txt Enc (std),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.571932691505444,0.5641025641025641,0.40689365279529216,BERT +Txt Enc (std),fewshot_e2e,0.01,42
macro,1,0.6018128026656008,0.5726495726495726,0.42540934848627154,BERT +Txt Enc (std),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.6018128026656008,0.5726495726495726,0.42540934848627154,BERT +Txt Enc (std),fewshot_e2e,0.05,42
macro,1,0.6255307488472965,0.5641025641025641,0.4620782726045884,BERT +Txt Enc (std),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.6255307488472965,0.5641025641025641,0.4620782726045884,BERT +Txt Enc (std),fewshot_e2e,0.1,42
macro,1,0.5632702269477974,0.5555555555555556,0.4750532246593253,BERT Full (LLM),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.5632702269477974,0.5555555555555556,0.4750532246593253,BERT Full (LLM),fewshot_e2e,0.01,42
macro,1,0.5762568658225714,0.5726495726495726,0.4930504015471336,BERT Full (LLM),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.5762568658225714,0.5726495726495726,0.4930504015471336,BERT Full (LLM),fewshot_e2e,0.05,42
macro,1,0.7067405615484949,0.5982905982905983,0.566573040052213,BERT Full (LLM),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.7067405615484949,0.5982905982905983,0.566573040052213,BERT Full (LLM),fewshot_e2e,0.1,42
macro,1,0.6078782596029403,0.5555555555555556,0.5051692353923591,BERT Full (std),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.6078782596029403,0.5555555555555556,0.5051692353923591,BERT Full (std),fewshot_e2e,0.01,42
macro,1,0.713265124937843,0.5555555555555556,0.5043358662549068,BERT Full (std),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.713265124937843,0.5555555555555556,0.5043358662549068,BERT Full (std),fewshot_e2e,0.05,42
