model,setting,fewshot_frac,seed,organ,n_train_support,n_val,n_test,n_classes,best_val_f1_weighted,accuracy,f1_weighted,auroc,n_eval
CLIP +Img Enc (std),fewshot_e2e,0.01,42,breast,8,118,117,3,0.4196349324515388,0.5641025641025641,0.47441966986559025,0.742766801693624,117
CLIP +Img Enc (std),fewshot_e2e,0.05,42,breast,29,118,117,3,0.5187589519348341,0.6324786324786325,0.6320877927764585,0.7822071554697024,117
CLIP +Img Enc (std),fewshot_e2e,0.1,42,breast,56,118,117,3,0.5543620406265293,0.6581196581196581,0.6535141271983377,0.7565957825956725,117
CLIP Full (std),fewshot_e2e,0.01,42,breast,8,118,117,3,0.4272400029075555,0.5897435897435898,0.4803718790787756,0.5870414335150516,117
CLIP Full (std),fewshot_e2e,0.05,42,breast,29,118,117,3,0.46694070612084015,0.5470085470085471,0.4764472114125528,0.6216346954010371,117
CLIP Full (std),fewshot_e2e,0.1,42,breast,56,118,117,3,0.41192493946731235,0.5641025641025641,0.4318706329879514,0.5769896695740725,117
BERT +Img Enc (std),fewshot_e2e,0.01,42,breast,8,118,117,3,0.43595290205459697,0.36752136752136755,0.36942662071044735,0.5638638587034647,117
BERT +Img Enc (std),fewshot_e2e,0.05,42,breast,29,118,117,3,0.4815586417636555,0.5042735042735043,0.4249084249084249,0.5927265362842723,117
BERT +Img Enc (std),fewshot_e2e,0.1,42,breast,56,118,117,3,0.47390634420848127,0.5213675213675214,0.4796628492280666,0.6395092299914018,117
BERT Full (std),fewshot_e2e,0.01,42,breast,8,118,117,3,0.47982250481150446,0.5555555555555556,0.5051692353923591,0.6078782596029403,117
BERT Full (std),fewshot_e2e,0.05,42,breast,29,118,117,3,0.5182872435325603,0.5555555555555556,0.5043358662549068,0.713265124937843,117
BERT Full (std),fewshot_e2e,0.1,42,breast,56,118,117,3,0.5157899617645381,0.6410256410256411,0.5856773850379988,0.7402907146042749,117
CLIP +Img Enc (LLM),fewshot_e2e,0.01,42,breast,8,118,117,3,0.4191943649570768,0.5897435897435898,0.5024898022869626,0.5379120760122772,117
CLIP +Img Enc (LLM),fewshot_e2e,0.05,42,breast,29,118,117,3,0.5859917963005958,0.6581196581196581,0.6504501680153292,0.7959154086902748,117
CLIP +Img Enc (LLM),fewshot_e2e,0.1,42,breast,56,118,117,3,0.6647145002605204,0.717948717948718,0.6864015984267179,0.8194957056824282,117
CLIP Full (LLM),fewshot_e2e,0.01,42,breast,8,118,117,3,0.401252763448784,0.5641025641025641,0.40689365279529216,0.49418311179898483,117
CLIP Full (LLM),fewshot_e2e,0.05,42,breast,29,118,117,3,0.401252763448784,0.5641025641025641,0.40689365279529216,0.49279559500964915,117
CLIP Full (LLM),fewshot_e2e,0.1,42,breast,56,118,117,3,0.401252763448784,0.5641025641025641,0.40689365279529216,0.513337206261002,117
BERT +Img Enc (LLM),fewshot_e2e,0.01,42,breast,8,118,117,3,0.5864406779661016,0.5726495726495726,0.5688692593955752,0.681731019443457,117
BERT +Img Enc (LLM),fewshot_e2e,0.05,42,breast,29,118,117,3,0.5340823810939779,0.5470085470085471,0.5010281184194227,0.6637356122664456,117
BERT +Img Enc (LLM),fewshot_e2e,0.1,42,breast,56,118,117,3,0.5171717492924603,0.5811965811965812,0.5256725256725256,0.7299606940589426,117
BERT Full (LLM),fewshot_e2e,0.01,42,breast,8,118,117,3,0.4499816005368314,0.5555555555555556,0.4750532246593253,0.5632702269477974,117
BERT Full (LLM),fewshot_e2e,0.05,42,breast,29,118,117,3,0.45090238543628375,0.5726495726495726,0.4930504015471336,0.5762568658225714,117
BERT Full (LLM),fewshot_e2e,0.1,42,breast,56,118,117,3,0.47502718760775575,0.5982905982905983,0.566573040052213,0.7067405615484949,117
OpenAI CLIP,fewshot_e2e,0.01,42,breast,8,118,117,3,0.5245900298227738,0.5299145299145299,0.5152218152218151,0.7496709271743084,117
OpenAI CLIP,fewshot_e2e,0.05,42,breast,29,118,117,3,0.5591998293278541,0.6495726495726496,0.5632266284440198,0.7342305620233273,117
OpenAI CLIP,fewshot_e2e,0.1,42,breast,56,118,117,3,0.6509245679553668,0.7435897435897436,0.7157931334202521,0.9226252277797077,117
BiomedCLIP,fewshot_e2e,0.01,42,breast,8,118,117,3,0.626997250602046,0.5470085470085471,0.5470085470085471,0.7327566452963555,117
BiomedCLIP,fewshot_e2e,0.05,42,breast,29,118,117,3,0.671432730098445,0.5470085470085471,0.5506969881969882,0.7322561754643169,117
BiomedCLIP,fewshot_e2e,0.1,42,breast,56,118,117,3,0.7292426992940557,0.7692307692307693,0.7580193086265961,0.9095554118053375,117
CLIP MLP Only (std),fewshot_e2e,0.01,42,breast,8,118,117,3,0.5040803515379787,0.5299145299145299,0.45688505594676654,0.5930217912914011,117
CLIP MLP Only (std),fewshot_e2e,0.05,42,breast,29,118,117,3,0.401252763448784,0.5641025641025641,0.40689365279529216,0.6300939911151288,117
CLIP MLP Only (std),fewshot_e2e,0.1,42,breast,56,118,117,3,0.5286303252404947,0.6495726495726496,0.5885934282388754,0.7185951901265281,117
CLIP +Txt Enc (std),fewshot_e2e,0.01,42,breast,8,118,117,3,0.5309257554779487,0.5726495726495726,0.574051008696678,0.6912015223332819,117
CLIP +Txt Enc (std),fewshot_e2e,0.05,42,breast,29,118,117,3,0.4543924658542132,0.5811965811965812,0.4435057473731507,0.7850567821249772,117
CLIP +Txt Enc (std),fewshot_e2e,0.1,42,breast,56,118,117,3,0.5275174476570289,0.6324786324786325,0.5771577207243537,0.7879152658407357,117
BERT MLP Only (std),fewshot_e2e,0.01,42,breast,8,118,117,3,0.41571568785432816,0.5641025641025641,0.43423706526705225,0.5615135243342477,117
BERT MLP Only (std),fewshot_e2e,0.05,42,breast,29,118,117,3,0.401252763448784,0.5641025641025641,0.40689365279529216,0.5356629753667537,117
BERT MLP Only (std),fewshot_e2e,0.1,42,breast,56,118,117,3,0.401252763448784,0.5641025641025641,0.40689365279529216,0.5479265334584683,117
BERT +Txt Enc (std),fewshot_e2e,0.01,42,breast,8,118,117,3,0.401252763448784,0.5641025641025641,0.40689365279529216,0.571932691505444,117
BERT +Txt Enc (std),fewshot_e2e,0.05,42,breast,29,118,117,3,0.4034454015004168,0.5726495726495726,0.42540934848627154,0.6018128026656008,117
BERT +Txt Enc (std),fewshot_e2e,0.1,42,breast,56,118,117,3,0.4243489045059943,0.5641025641025641,0.4620782726045884,0.6255307488472965,117
CLIP MLP Only (LLM),fewshot_e2e,0.01,42,breast,8,118,117,3,0.401252763448784,0.5641025641025641,0.40689365279529216,0.6672902017334094,117
CLIP MLP Only (LLM),fewshot_e2e,0.05,42,breast,29,118,117,3,0.472140101434826,0.5982905982905983,0.47984471369086756,0.572300342192641,117
CLIP MLP Only (LLM),fewshot_e2e,0.1,42,breast,56,118,117,3,0.5046206618240516,0.6239316239316239,0.5698808234019502,0.680623138155244,117
CLIP +Txt Enc (LLM),fewshot_e2e,0.01,42,breast,8,118,117,3,0.4346959122632104,0.5470085470085471,0.4345104213525266,0.696450448361948,117
CLIP +Txt Enc (LLM),fewshot_e2e,0.05,42,breast,29,118,117,3,0.4512351891601426,0.5641025641025641,0.45316789825460346,0.633618459606908,117
CLIP +Txt Enc (LLM),fewshot_e2e,0.1,42,breast,56,118,117,3,0.510005467468562,0.5982905982905983,0.5025558684518221,0.654846156439907,117
BERT MLP Only (LLM),fewshot_e2e,0.01,42,breast,8,118,117,3,0.49304239536520655,0.5470085470085471,0.5276712739887863,0.6618924133671075,117
BERT MLP Only (LLM),fewshot_e2e,0.05,42,breast,29,118,117,3,0.2578467727505507,0.26495726495726496,0.1918474687705457,0.4971107358067197,117
BERT MLP Only (LLM),fewshot_e2e,0.1,42,breast,56,118,117,3,0.46307486015967325,0.6068376068376068,0.5310224754669199,0.6976219504490521,117
BERT +Txt Enc (LLM),fewshot_e2e,0.01,42,breast,8,118,117,3,0.4164614012873702,0.5641025641025641,0.42227177009785705,0.6647126922066565,117
BERT +Txt Enc (LLM),fewshot_e2e,0.05,42,breast,29,118,117,3,0.401252763448784,0.5641025641025641,0.40689365279529216,0.5700616288429631,117
BERT +Txt Enc (LLM),fewshot_e2e,0.1,42,breast,56,118,117,3,0.4198809433596875,0.5641025641025641,0.40689365279529216,0.6380155304153663,117
