model,setting,fewshot_frac,average_type,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,n_organs_mean
BERT +Img Enc (LLM),fewshot_adaptation,0.01,macro,0.6773035375737552,0.03416356181028708,0.5230769230769231,0.05177822643029388,0.5307469284097962,0.03935459728613725,1.0
BERT +Img Enc (LLM),fewshot_adaptation,0.01,weighted_by_test_n,0.6773035375737552,0.03416356181028708,0.5230769230769231,0.05177822643029388,0.5307469284097962,0.03935459728613725,1.0
BERT +Img Enc (LLM),fewshot_adaptation,0.05,macro,0.7291357157149515,0.05575452891849654,0.5743589743589743,0.026619506841704995,0.5813687626900645,0.025467031432577267,1.0
BERT +Img Enc (LLM),fewshot_adaptation,0.05,weighted_by_test_n,0.7291357157149515,0.05575452891849655,0.5743589743589743,0.026619506841704995,0.5813687626900645,0.025467031432577267,1.0
BERT +Img Enc (LLM),fewshot_adaptation,0.1,macro,0.7091564859104713,0.054754841234951425,0.5982905982905983,0.047969966497101744,0.6083278081067891,0.046421995404020006,1.0
BERT +Img Enc (LLM),fewshot_adaptation,0.1,weighted_by_test_n,0.7091564859104713,0.05475484123495134,0.5982905982905983,0.047969966497101744,0.6083278081067891,0.046421995404020006,1.0
BERT +Img Enc (std),fewshot_adaptation,0.01,macro,0.5467717160222791,0.08358750566952548,0.3811965811965812,0.08976393745720426,0.3993097016515376,0.07822536261950959,1.0
BERT +Img Enc (std),fewshot_adaptation,0.01,weighted_by_test_n,0.5467717160222791,0.08358750566952548,0.3811965811965812,0.08976393745720426,0.3993097016515376,0.07822536261950959,1.0
BERT +Img Enc (std),fewshot_adaptation,0.05,macro,0.6005731569920737,0.06958327449616214,0.4632478632478632,0.07582309441441666,0.4694300884291257,0.06960584180620343,1.0
BERT +Img Enc (std),fewshot_adaptation,0.05,weighted_by_test_n,0.6005731569920737,0.06958327449616213,0.4632478632478632,0.07582309441441666,0.4694300884291257,0.06960584180620343,1.0
BERT +Img Enc (std),fewshot_adaptation,0.1,macro,0.6438969521187164,0.032051639406849686,0.5316239316239316,0.022123383086401372,0.5326789197445349,0.029891136624758806,1.0
BERT +Img Enc (std),fewshot_adaptation,0.1,weighted_by_test_n,0.6438969521187164,0.032051639406849686,0.5316239316239316,0.022123383086401372,0.5326789197445349,0.029891136624758806,1.0
BERT +Txt Enc (LLM),fewshot_adaptation,0.01,macro,0.6679343018767353,0.054875478602142265,0.5213675213675214,0.05828282776489682,0.5281174721115587,0.06292815048926693,1.0
BERT +Txt Enc (LLM),fewshot_adaptation,0.01,weighted_by_test_n,0.6679343018767353,0.054875478602142265,0.5213675213675214,0.05828282776489682,0.5281174721115587,0.06292815048926693,1.0
BERT +Txt Enc (LLM),fewshot_adaptation,0.05,macro,0.7222273887195727,0.03969093160937732,0.5709401709401709,0.07582309441441668,0.5725992623013105,0.07869341041664077,1.0
BERT +Txt Enc (LLM),fewshot_adaptation,0.05,weighted_by_test_n,0.7222273887195727,0.03969093160937732,0.5709401709401709,0.07582309441441668,0.5725992623013105,0.07869341041664077,1.0
BERT +Txt Enc (LLM),fewshot_adaptation,0.1,macro,0.7687410551788336,0.0635774891272168,0.6205128205128205,0.07166247458548572,0.6203934716035909,0.06878694744638848,1.0
BERT +Txt Enc (LLM),fewshot_adaptation,0.1,weighted_by_test_n,0.7687410551788336,0.0635774891272168,0.6205128205128205,0.07166247458548572,0.6203934716035909,0.06878694744638848,1.0
BERT +Txt Enc (std),fewshot_adaptation,0.01,macro,0.6529233023718622,0.05067512352640941,0.5196581196581197,0.06292363186087506,0.5242344467280964,0.0646622038149837,1.0
