organ,n_train,n_val,n_test,n_classes,best_c,val_f1_weighted,accuracy,f1_weighted,auroc,n_eval,model,setting,fewshot_frac,seed
breast,8,118,117,3,0.01,0.5496973643587835,0.5726495726495726,0.5636120401337793,0.7530925615520977,117,OpenAI CLIP,fewshot_adaptation,0.01,42
breast,8,118,117,3,10.0,0.6256340953572903,0.5470085470085471,0.5563160353858028,0.6952281178759568,117,OpenAI CLIP,fewshot_adaptation,0.01,43
breast,8,118,117,3,0.01,0.5951786050798366,0.5897435897435898,0.586948380359233,0.6996827690362203,117,OpenAI CLIP,fewshot_adaptation,0.01,44
breast,8,118,117,3,0.01,0.5164255660690884,0.5384615384615384,0.5168702879246261,0.6753356462894445,117,OpenAI CLIP,fewshot_adaptation,0.01,45
breast,8,118,117,3,0.1,0.641133316468505,0.6410256410256411,0.6364721065575766,0.8070800605003289,117,OpenAI CLIP,fewshot_adaptation,0.01,46
breast,29,118,117,3,0.1,0.645550702642585,0.6581196581196581,0.663456326870961,0.8055503915856207,117,OpenAI CLIP,fewshot_adaptation,0.05,42
breast,29,118,117,3,10.0,0.6534523655496615,0.6324786324786325,0.6353689033195434,0.7877046794914452,117,OpenAI CLIP,fewshot_adaptation,0.05,43
breast,29,118,117,3,0.01,0.6815205457316014,0.6923076923076923,0.6945172882672882,0.8249086807539339,117,OpenAI CLIP,fewshot_adaptation,0.05,44
breast,29,118,117,3,0.01,0.6930230575563233,0.7264957264957265,0.7220903460383338,0.8728873459919395,117,OpenAI CLIP,fewshot_adaptation,0.05,45
breast,29,118,117,3,0.01,0.7072618135592152,0.7094017094017094,0.7093530251424988,0.8251139314987826,117,OpenAI CLIP,fewshot_adaptation,0.05,46
breast,56,118,117,3,0.1,0.6475298932307468,0.7008547008547008,0.7025453179299334,0.8302738322175413,117,OpenAI CLIP,fewshot_adaptation,0.1,42
breast,56,118,117,3,10.0,0.7325847510652874,0.7692307692307693,0.7746585137889485,0.9089935902576448,117,OpenAI CLIP,fewshot_adaptation,0.1,43
breast,56,118,117,3,1.0,0.7278934427120223,0.7094017094017094,0.7137769514510883,0.8663468310860601,117,OpenAI CLIP,fewshot_adaptation,0.1,44
breast,56,118,117,3,0.01,0.6845921877543432,0.717948717948718,0.718500907851122,0.8812002704812779,117,OpenAI CLIP,fewshot_adaptation,0.1,45
breast,56,118,117,3,0.01,0.7097414826228386,0.6666666666666666,0.6745788933288933,0.7971718593656597,117,OpenAI CLIP,fewshot_adaptation,0.1,46
breast,8,118,117,3,0.01,0.5330854283994862,0.6581196581196581,0.6375812198140264,0.732357046695319,117,BiomedCLIP,fewshot_adaptation,0.01,42
breast,8,118,117,3,0.01,0.6720286127065788,0.6752136752136753,0.6489280056328111,0.8090988535245369,117,BiomedCLIP,fewshot_adaptation,0.01,43
breast,8,118,117,3,1.0,0.6256977792534167,0.6239316239316239,0.6323940932968088,0.8400740756303495,117,BiomedCLIP,fewshot_adaptation,0.01,44
breast,8,118,117,3,0.01,0.613317191283293,0.5897435897435898,0.5873763983216721,0.7463242903362333,117,BiomedCLIP,fewshot_adaptation,0.01,45
breast,8,118,117,3,0.01,0.6282053499365848,0.6153846153846154,0.6277576963330782,0.8264640133546566,117,BiomedCLIP,fewshot_adaptation,0.01,46
breast,29,118,117,3,0.01,0.6456890351872074,0.6752136752136753,0.6825093008292404,0.8429888400700919,117,BiomedCLIP,fewshot_adaptation,0.05,42
breast,29,118,117,3,0.1,0.6715581223020737,0.6837606837606838,0.6906978007680583,0.8556852102226848,117,BiomedCLIP,fewshot_adaptation,0.05,43
breast,29,118,117,3,1.0,0.6840771036543573,0.7264957264957265,0.7192979756004966,0.8647540259469926,117,BiomedCLIP,fewshot_adaptation,0.05,44
breast,29,118,117,3,1.0,0.6395588354553565,0.6923076923076923,0.7034976512401262,0.8823284489093678,117,BiomedCLIP,fewshot_adaptation,0.05,45
breast,29,118,117,3,0.1,0.7015240267799949,0.7094017094017094,0.7148239267642253,0.8774987444143135,117,BiomedCLIP,fewshot_adaptation,0.05,46
breast,56,118,117,3,0.1,0.6543161347679743,0.7606837606837606,0.7642525116209328,0.8874913334339061,117,BiomedCLIP,fewshot_adaptation,0.1,42
breast,56,118,117,3,10.0,0.7632528362100839,0.8034188034188035,0.8059680438670709,0.9280401637429039,117,BiomedCLIP,fewshot_adaptation,0.1,43
breast,56,118,117,3,10.0,0.6634777466675217,0.7264957264957265,0.7308205494462907,0.8666788843476435,117,BiomedCLIP,fewshot_adaptation,0.1,44
breast,56,118,117,3,0.01,0.7303569658609802,0.7606837606837606,0.7651498599870022,0.9024214855650806,117,BiomedCLIP,fewshot_adaptation,0.1,45
