average_type,n_organs,auroc,accuracy,f1_weighted,model,setting
macro,1,0.9428446277179307,0.8547008547008547,0.8571287642600132,OpenAI CLIP,linear_probe
weighted_by_test_n,1,0.9428446277179307,0.8547008547008547,0.8571287642600132,OpenAI CLIP,linear_probe
macro,1,0.9520556792020959,0.8290598290598291,0.833038174865623,BiomedCLIP,linear_probe
weighted_by_test_n,1,0.9520556792020959,0.8290598290598291,0.833038174865623,BiomedCLIP,linear_probe
macro,1,0.9016337414624221,0.7521367521367521,0.7534243534243535,CLIP MLP Only (std),linear_probe
weighted_by_test_n,1,0.9016337414624223,0.7521367521367521,0.7534243534243535,CLIP MLP Only (std),linear_probe
macro,1,0.7743307728942024,0.6153846153846154,0.6245680793804917,CLIP +Img Enc (std),linear_probe
weighted_by_test_n,1,0.7743307728942024,0.6153846153846154,0.6245680793804917,CLIP +Img Enc (std),linear_probe
macro,1,0.9067219859616943,0.7606837606837606,0.7622756585113378,CLIP +Txt Enc (std),linear_probe
weighted_by_test_n,1,0.9067219859616943,0.7606837606837606,0.7622756585113378,CLIP +Txt Enc (std),linear_probe
macro,1,0.7641766941848784,0.5726495726495726,0.5871838707659602,CLIP Full (std),linear_probe
weighted_by_test_n,1,0.7641766941848784,0.5726495726495726,0.5871838707659602,CLIP Full (std),linear_probe
macro,1,0.8040817083708113,0.6581196581196581,0.6618734668359014,BERT MLP Only (std),linear_probe
weighted_by_test_n,1,0.8040817083708113,0.6581196581196581,0.6618734668359014,BERT MLP Only (std),linear_probe
macro,1,0.7720371225632547,0.6324786324786325,0.643047514015256,BERT +Img Enc (std),linear_probe
weighted_by_test_n,1,0.7720371225632549,0.6324786324786325,0.643047514015256,BERT +Img Enc (std),linear_probe
macro,1,0.8284686768993336,0.6752136752136753,0.6816213093825295,BERT +Txt Enc (std),linear_probe
weighted_by_test_n,1,0.8284686768993336,0.6752136752136753,0.6816213093825295,BERT +Txt Enc (std),linear_probe
macro,1,0.8427117538124141,0.6837606837606838,0.6894586894586894,BERT Full (std),linear_probe
weighted_by_test_n,1,0.8427117538124141,0.6837606837606838,0.6894586894586894,BERT Full (std),linear_probe
macro,1,0.8685728635483813,0.7008547008547008,0.7019449193445736,CLIP MLP Only (LLM),linear_probe
weighted_by_test_n,1,0.8685728635483813,0.7008547008547008,0.7019449193445736,CLIP MLP Only (LLM),linear_probe
macro,1,0.9117788149893812,0.7692307692307693,0.7740097417516771,CLIP +Img Enc (LLM),linear_probe
weighted_by_test_n,1,0.9117788149893812,0.7692307692307693,0.7740097417516771,CLIP +Img Enc (LLM),linear_probe
macro,1,0.8273089163433944,0.6752136752136753,0.6761033157460502,CLIP +Txt Enc (LLM),linear_probe
weighted_by_test_n,1,0.8273089163433944,0.6752136752136753,0.6761033157460502,CLIP +Txt Enc (LLM),linear_probe
macro,1,0.8409681321837953,0.6666666666666666,0.6689134185766152,CLIP Full (LLM),linear_probe
weighted_by_test_n,1,0.8409681321837953,0.6666666666666666,0.6689134185766152,CLIP Full (LLM),linear_probe
macro,1,0.8877058937998369,0.7692307692307693,0.7733052855004073,BERT MLP Only (LLM),linear_probe
weighted_by_test_n,1,0.8877058937998369,0.7692307692307693,0.7733052855004073,BERT MLP Only (LLM),linear_probe
macro,1,0.8009527495808935,0.6495726495726496,0.6541839698762776,BERT +Img Enc (LLM),linear_probe
weighted_by_test_n,1,0.8009527495808935,0.6495726495726496,0.6541839698762776,BERT +Img Enc (LLM),linear_probe
macro,1,0.9061736984190611,0.7863247863247863,0.7863494411571335,BERT +Txt Enc (LLM),linear_probe
weighted_by_test_n,1,0.9061736984190611,0.7863247863247863,0.7863494411571335,BERT +Txt Enc (LLM),linear_probe
macro,1,0.8368900148112538,0.6581196581196581,0.6644750127728851,BERT Full (LLM),linear_probe
weighted_by_test_n,1,0.8368900148112538,0.6581196581196581,0.6644750127728851,BERT Full (LLM),linear_probe
