organ,n_train,n_val,n_test,n_classes,best_c,val_f1_weighted,accuracy,f1_weighted,auroc,n_eval,model,setting
breast,545,118,117,3,0.1,0.8630129022635713,0.8547008547008547,0.8571287642600132,0.9428446277179307,117,OpenAI CLIP,linear_probe
breast,545,118,117,3,0.01,0.7988434066819058,0.8290598290598291,0.833038174865623,0.9520556792020959,117,BiomedCLIP,linear_probe
breast,545,118,117,3,1.0,0.7531422622528103,0.7521367521367521,0.7534243534243535,0.9016337414624221,117,CLIP MLP Only (std),linear_probe
breast,545,118,117,3,10.0,0.5622192535693412,0.6153846153846154,0.6245680793804917,0.7743307728942024,117,CLIP +Img Enc (std),linear_probe
breast,545,118,117,3,0.1,0.6700782268578879,0.7606837606837606,0.7622756585113378,0.9067219859616943,117,CLIP +Txt Enc (std),linear_probe
breast,545,118,117,3,1.0,0.5626235495643666,0.5726495726495726,0.5871838707659602,0.7641766941848784,117,CLIP Full (std),linear_probe
breast,545,118,117,3,1.0,0.6311361829272573,0.6581196581196581,0.6618734668359014,0.8040817083708113,117,BERT MLP Only (std),linear_probe
breast,545,118,117,3,10.0,0.6147015475313191,0.6324786324786325,0.643047514015256,0.7720371225632547,117,BERT +Img Enc (std),linear_probe
breast,545,118,117,3,1.0,0.6779564090800417,0.6752136752136753,0.6816213093825295,0.8284686768993336,117,BERT +Txt Enc (std),linear_probe
breast,545,118,117,3,10.0,0.5973412929875433,0.6837606837606838,0.6894586894586894,0.8427117538124141,117,BERT Full (std),linear_probe
breast,545,118,117,3,1.0,0.7017077813448361,0.7008547008547008,0.7019449193445736,0.8685728635483813,117,CLIP MLP Only (LLM),linear_probe
breast,545,118,117,3,1.0,0.6701948752366552,0.7692307692307693,0.7740097417516771,0.9117788149893812,117,CLIP +Img Enc (LLM),linear_probe
breast,545,118,117,3,1.0,0.6877215145453908,0.6752136752136753,0.6761033157460502,0.8273089163433944,117,CLIP +Txt Enc (LLM),linear_probe
breast,545,118,117,3,1.0,0.7013875959233727,0.6666666666666666,0.6689134185766152,0.8409681321837953,117,CLIP Full (LLM),linear_probe
breast,545,118,117,3,1.0,0.7949897785465708,0.7692307692307693,0.7733052855004073,0.8877058937998369,117,BERT MLP Only (LLM),linear_probe
breast,545,118,117,3,10.0,0.6358528669311215,0.6495726495726496,0.6541839698762776,0.8009527495808935,117,BERT +Img Enc (LLM),linear_probe
breast,545,118,117,3,1.0,0.6939215223387728,0.7863247863247863,0.7863494411571335,0.9061736984190611,117,BERT +Txt Enc (LLM),linear_probe
breast,545,118,117,3,10.0,0.6456886172084838,0.6581196581196581,0.6644750127728851,0.8368900148112538,117,BERT Full (LLM),linear_probe
