model,i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10
BERT +Img Enc (LLM),0.042735042735042736,0.08547008547008547,0.11965811965811966,0.0,0.05982905982905983,0.10256410256410256
CLIP +Img Enc (std),0.02564102564102564,0.09401709401709402,0.1794871794871795,0.017094017094017096,0.07692307692307693,0.1623931623931624
BERT +Txt Enc (LLM),0.02564102564102564,0.07692307692307693,0.1282051282051282,0.008547008547008548,0.05128205128205128,0.08547008547008547
CLIP +Txt Enc (std),0.02564102564102564,0.15384615384615385,0.23076923076923078,0.008547008547008548,0.11965811965811966,0.2222222222222222
BERT MLP Only (std),0.02564102564102564,0.05982905982905983,0.10256410256410256,0.0,0.05128205128205128,0.06837606837606838
BiomedCLIP,0.017094017094017096,0.05128205128205128,0.11965811965811966,0.008547008547008548,0.02564102564102564,0.08547008547008547
CLIP MLP Only (LLM),0.017094017094017096,0.08547008547008547,0.10256410256410256,0.0,0.02564102564102564,0.05128205128205128
BERT +Img Enc (std),0.017094017094017096,0.08547008547008547,0.13675213675213677,0.008547008547008548,0.03418803418803419,0.11965811965811966
BERT Full (std),0.017094017094017096,0.05128205128205128,0.09401709401709402,0.0,0.05982905982905983,0.07692307692307693
CLIP MLP Only (std),0.017094017094017096,0.1794871794871795,0.2564102564102564,0.02564102564102564,0.09401709401709402,0.18803418803418803
CLIP +Img Enc (LLM),0.017094017094017096,0.03418803418803419,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.10256410256410256
OpenAI CLIP,0.008547008547008548,0.017094017094017096,0.09401709401709402,0.008547008547008548,0.03418803418803419,0.1111111111111111
BERT +Txt Enc (std),0.008547008547008548,0.017094017094017096,0.06837606837606838,0.008547008547008548,0.02564102564102564,0.08547008547008547
CLIP Full (std),0.008547008547008548,0.05128205128205128,0.09401709401709402,0.008547008547008548,0.06837606837606838,0.09401709401709402
CLIP Full (LLM),0.008547008547008548,0.042735042735042736,0.08547008547008547,0.008547008547008548,0.042735042735042736,0.08547008547008547
CLIP +Txt Enc (LLM),0.0,0.03418803418803419,0.08547008547008547,0.0,0.05128205128205128,0.09401709401709402
BERT MLP Only (LLM),0.0,0.042735042735042736,0.10256410256410256,0.008547008547008548,0.03418803418803419,0.05128205128205128
BERT Full (LLM),0.0,0.05128205128205128,0.07692307692307693,0.008547008547008548,0.017094017094017096,0.06837606837606838
