model,paired_similarity,cross_pair_similarity
OpenAI CLIP,0.330328106880188,0.3299540281295776
BiomedCLIP,0.4520452916622162,0.4475398063659668
CLIP standard | MLP heads only,0.5250368714332581,0.4781512916088104
CLIP standard | MLP + image encoder,0.6950446367263794,0.6170564293861389
CLIP standard | MLP + text encoder,0.6128028631210327,0.5634800791740417
CLIP standard | MLP + image + text encoder,-0.1010108813643455,-0.1000152379274368
CLIP LLM | MLP heads only,0.0694876462221145,0.0689359307289123
CLIP LLM | MLP + image encoder,0.0495281852781772,0.0500352419912815
CLIP LLM | MLP + text encoder,0.172385886311531,0.1688726395368576
CLIP LLM | MLP + image + text encoder,0.2090649902820587,0.2090649902820587
BERT LLM | MLP heads only,0.2593633830547333,0.26073548197746277
BERT LLM | MLP + image encoder,0.07274207472801208,0.07904606312513351
BERT LLM | MLP + text encoder,0.2533630430698395,0.2522309720516205
BERT LLM | MLP + image + text encoder,0.409027099609375,0.4091217517852783
BERT standard | MLP heads only,0.2614471912384033,0.26418164372444153
BERT standard | MLP + image encoder,0.1651543378829956,0.1666688472032547
BERT standard | MLP + text encoder,0.307273268699646,0.31732264161109924
BERT standard | MLP + image + text encoder,0.33509495854377747,0.334574431180954
