model,setting,fewshot_frac,seed,organ,dataset,direction,n_retrieval_pairs,n_train_support,best_val_f1_weighted,R@1,R@5,R@10
OpenAI CLIP,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.5787336987336986,0.009009009009009009,0.05405405405405406,0.14414414414414414
OpenAI CLIP,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.5787336987336986,0.009009009009009009,0.05405405405405406,0.11711711711711711
OpenAI CLIP,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.6326626256500029,0.018018018018018018,0.06306306306306306,0.16216216216216217
OpenAI CLIP,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.6326626256500029,0.036036036036036036,0.10810810810810811,0.17117117117117117
OpenAI CLIP,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.6832533683108396,0.009009009009009009,0.05405405405405406,0.11711711711711711
OpenAI CLIP,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.6832533683108396,0.009009009009009009,0.04504504504504504,0.11711711711711711
BiomedCLIP,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.5471015471015471,0.009009009009009009,0.05405405405405406,0.10810810810810811
BiomedCLIP,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.5471015471015471,0.009009009009009009,0.05405405405405406,0.10810810810810811
BiomedCLIP,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.5528314028314029,0.02702702702702703,0.04504504504504504,0.0990990990990991
BiomedCLIP,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.5528314028314029,0.009009009009009009,0.06306306306306306,0.11711711711711711
BiomedCLIP,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.6359771321348334,0.018018018018018018,0.08108108108108109,0.12612612612612611
BiomedCLIP,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.6359771321348334,0.009009009009009009,0.06306306306306306,0.11711711711711711
CLIP standard | MLP heads only,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.44342647732478246,0.009009009009009009,0.05405405405405406,0.09009009009009009
CLIP standard | MLP heads only,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.44342647732478246,0.009009009009009009,0.036036036036036036,0.11711711711711711
CLIP standard | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP standard | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.0,0.04504504504504504,0.09009009009009009
CLIP standard | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP standard | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.44342647732478246,0.018018018018018018,0.07207207207207207,0.0990990990990991
CLIP standard | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.7015975853185155,0.018018018018018018,0.10810810810810811,0.21621621621621623
CLIP standard | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.7015975853185155,0.018018018018018018,0.11711711711711711,0.1891891891891892
CLIP standard | MLP + image encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.7032886545081667,0.009009009009009009,0.06306306306306306,0.14414414414414414
CLIP standard | MLP + image encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.7032886545081667,0.009009009009009009,0.04504504504504504,0.0990990990990991
CLIP standard | MLP + image encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.669035128494588,0.02702702702702703,0.09009009009009009,0.1981981981981982
CLIP standard | MLP + image encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.669035128494588,0.036036036036036036,0.07207207207207207,0.11711711711711711
CLIP standard | MLP + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.44594594594594594,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP standard | MLP + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.44594594594594594,0.009009009009009009,0.0990990990990991,0.17117117117117117
CLIP standard | MLP + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP standard | MLP + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.02702702702702703,0.06306306306306306,0.14414414414414414
CLIP standard | MLP + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.5385385385385385,0.009009009009009009,0.04504504504504504,0.0990990990990991
CLIP standard | MLP + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.5385385385385385,0.018018018018018018,0.08108108108108109,0.13513513513513514
CLIP standard | MLP + image + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.08108108108108109
CLIP standard | MLP + image + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.44342647732478246,0.009009009009009009,0.05405405405405406,0.09009009009009009
CLIP standard | MLP + image + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP standard | MLP + image + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.009009009009009009,0.05405405405405406,0.09009009009009009
CLIP standard | MLP + image + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.0990990990990991
CLIP standard | MLP + image + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.08108108108108109
CLIP LLM | MLP heads only,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.45094155080412524,0.0,0.036036036036036036,0.08108108108108109
CLIP LLM | MLP heads only,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.45094155080412524,0.009009009009009009,0.02702702702702703,0.06306306306306306
CLIP LLM | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.009009009009009009,0.05405405405405406,0.09009009009009009
CLIP LLM | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.0,0.04504504504504504,0.06306306306306306
CLIP LLM | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.49304644450275514,0.009009009009009009,0.04504504504504504,0.08108108108108109
CLIP LLM | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.49304644450275514,0.009009009009009009,0.02702702702702703,0.09009009009009009
CLIP LLM | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.5932557944941848,0.009009009009009009,0.04504504504504504,0.0990990990990991
CLIP LLM | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.5932557944941848,0.009009009009009009,0.05405405405405406,0.09009009009009009
CLIP LLM | MLP + image encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.6357481999373892,0.009009009009009009,0.05405405405405406,0.13513513513513514
