model,fewshot_frac,dataset,direction,R1_mean,R1_std,R5_mean,R5_std,R10_mean,R10_std,n_pairs_mean
BERT LLM | MLP + image + text encoder,0.01,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
BERT LLM | MLP + image + text encoder,0.01,liver_holdout,T2I,0.0,,0.05405405405405406,,0.09009009009009009,,111.0
BERT LLM | MLP + image + text encoder,0.05,liver_holdout,I2T,0.0,,0.02702702702702703,,0.07207207207207207,,111.0
BERT LLM | MLP + image + text encoder,0.05,liver_holdout,T2I,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
BERT LLM | MLP + image + text encoder,0.1,liver_holdout,I2T,0.009009009009009009,,0.05405405405405406,,0.08108108108108109,,111.0
BERT LLM | MLP + image + text encoder,0.1,liver_holdout,T2I,0.018018018018018018,,0.04504504504504504,,0.09009009009009009,,111.0
BERT LLM | MLP + image encoder,0.01,liver_holdout,I2T,0.0,,0.009009009009009009,,0.07207207207207207,,111.0
BERT LLM | MLP + image encoder,0.01,liver_holdout,T2I,0.009009009009009009,,0.036036036036036036,,0.08108108108108109,,111.0
BERT LLM | MLP + image encoder,0.05,liver_holdout,I2T,0.009009009009009009,,0.05405405405405406,,0.09009009009009009,,111.0
BERT LLM | MLP + image encoder,0.05,liver_holdout,T2I,0.009009009009009009,,0.05405405405405406,,0.09009009009009009,,111.0
BERT LLM | MLP + image encoder,0.1,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
BERT LLM | MLP + image encoder,0.1,liver_holdout,T2I,0.0,,0.07207207207207207,,0.0990990990990991,,111.0
BERT LLM | MLP + text encoder,0.01,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.0990990990990991,,111.0
BERT LLM | MLP + text encoder,0.01,liver_holdout,T2I,0.0,,0.036036036036036036,,0.08108108108108109,,111.0
BERT LLM | MLP + text encoder,0.05,liver_holdout,I2T,0.018018018018018018,,0.07207207207207207,,0.11711711711711711,,111.0
BERT LLM | MLP + text encoder,0.05,liver_holdout,T2I,0.009009009009009009,,0.04504504504504504,,0.11711711711711711,,111.0
BERT LLM | MLP + text encoder,0.1,liver_holdout,I2T,0.018018018018018018,,0.04504504504504504,,0.09009009009009009,,111.0
BERT LLM | MLP + text encoder,0.1,liver_holdout,T2I,0.009009009009009009,,0.04504504504504504,,0.11711711711711711,,111.0
