organ,n_train,n_val,n_test,n_classes,best_c,val_f1_weighted,accuracy,f1_weighted,auroc,n_eval,model,setting
liver,513,111,111,3,0.1,0.723069356657143,0.6846846846846847,0.6834032308170239,0.7991208380097268,111,OpenAI CLIP,linear_probe
liver,513,111,111,3,1.0,0.7374379727320904,0.6396396396396397,0.6380635103983353,0.7292336949744357,111,BiomedCLIP,linear_probe
liver,513,111,111,3,0.01,0.7029592240323947,0.7027027027027027,0.6986158894234338,0.8619014216236439,111,CLIP standard | MLP heads only,linear_probe
liver,513,111,111,3,10.0,0.7545500667425217,0.7207207207207207,0.7254312239068337,0.864298073325851,111,CLIP standard | MLP + image encoder,linear_probe
liver,513,111,111,3,0.01,0.720560931087247,0.7207207207207207,0.7174199857126685,0.8683470507544583,111,CLIP standard | MLP + text encoder,linear_probe
liver,513,111,111,3,10.0,0.655433337828206,0.6306306306306306,0.6425056175803933,0.7823302469135803,111,CLIP standard | MLP + image + text encoder,linear_probe
liver,513,111,111,3,0.01,0.7031731918288923,0.7117117117117117,0.7142649562004402,0.8430150268113231,111,CLIP LLM | MLP heads only,linear_probe
liver,513,111,111,3,0.1,0.6828264000677794,0.6756756756756757,0.6853205462589295,0.8162894375857338,111,CLIP LLM | MLP + image encoder,linear_probe
liver,513,111,111,3,0.01,0.7115441657389584,0.7117117117117117,0.7086833328431177,0.845952581369248,111,CLIP LLM | MLP + text encoder,linear_probe
liver,513,111,111,3,0.1,0.6745017084000136,0.7117117117117117,0.7079937079937081,0.868772602568899,111,CLIP LLM | MLP + image + text encoder,linear_probe
liver,513,111,111,3,0.1,0.7162246674441796,0.7117117117117117,0.7169816349715445,0.8597721037535853,111,BERT LLM | MLP heads only,linear_probe
liver,513,111,111,3,1.0,0.6850918715325494,0.6756756756756757,0.690564777172636,0.8132505611672278,111,BERT LLM | MLP + image encoder,linear_probe
liver,513,111,111,3,0.01,0.7172914735784267,0.6756756756756757,0.6712836712836713,0.8390291806958473,111,BERT LLM | MLP + text encoder,linear_probe
liver,513,111,111,3,1.0,0.6710735503305162,0.6666666666666666,0.6782579370814664,0.8019329093403168,111,BERT LLM | MLP + image + text encoder,linear_probe
liver,513,111,111,3,0.01,0.687740956033639,0.6576576576576577,0.6555969459195266,0.829472191046265,111,BERT standard | MLP heads only,linear_probe
liver,513,111,111,3,1.0,0.7069442777319147,0.6756756756756757,0.6842330652698397,0.79275548696845,111,BERT standard | MLP + image encoder,linear_probe
liver,513,111,111,3,0.01,0.722493906271558,0.7027027027027027,0.7011579999732699,0.8399597830153386,111,BERT standard | MLP + text encoder,linear_probe
liver,513,111,111,3,0.1,0.6676551899545555,0.6216216216216216,0.6358456136109681,0.7637478176830029,111,BERT standard | MLP + image + text encoder,linear_probe
