model,n_samples,n_classes,accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall
CLIP standard | MLP + image encoder,735,3,0.6258503401360545,0.6455160942393409,0.6412978820626531,0.6683894599425706,0.7556268991055395,0.7013793103448275,0.6258503401360545
CLIP standard | MLP + text encoder,735,3,0.5863945578231292,0.5671560724462948,0.607012411980209,0.5824296752610054,0.7020385109941382,0.6141762452107279,0.5863945578231292
CLIP standard | MLP heads only,735,3,0.49523809523809526,0.4960296669651048,0.5130597717748769,0.5384038173262782,0.6649938335933447,0.560632183908046,0.49523809523809526
BiomedCLIP,735,3,0.35918367346938773,0.33798895464719525,0.36917047194383606,0.42930451235594286,0.5811359346788999,0.4785823754789272,0.35918367346938773
OpenAI CLIP,735,3,0.3006802721088435,0.21340146485094,0.18992336881264446,0.4986909897308713,0.6776479953853728,0.36019157088122605,0.3006802721088435
BERT standard | MLP heads only,735,3,0.18775510204081633,0.1887474241548601,0.12139606547510337,0.19219505984211868,0.137899315570384,0.37333333333333335,0.18775510204081633
CLIP LLM | MLP + text encoder,735,3,0.16870748299319727,0.16930959075288973,0.13474870735548203,0.14202729044834309,0.11382424314755142,0.21833333333333335,0.16870748299319727
CLIP LLM | MLP heads only,735,3,0.22993197278911565,0.15603205358751718,0.127941697683382,0.43980901666465666,0.6780854410358579,0.2824329501915709,0.22993197278911565
CLIP LLM | MLP + image encoder,735,3,0.272108843537415,0.14260249554367202,0.1164102004438139,0.090702947845805,0.07404322273126938,0.3333333333333333,0.272108843537415
CLIP standard | MLP + image + text encoder,735,3,0.272108843537415,0.14260249554367202,0.1164102004438139,0.090702947845805,0.07404322273126938,0.3333333333333333,0.272108843537415
BERT standard | MLP + image + text encoder,735,3,0.15510204081632653,0.1231574845803674,0.06495049289875517,0.11433087460484721,0.07282997498261687,0.355,0.15510204081632653
BERT standard | MLP + text encoder,735,3,0.13877551020408163,0.08672886519421173,0.038093683779680955,0.3788706739526411,0.2906955131779488,0.33666666666666667,0.13877551020408163
BERT LLM | MLP heads only,735,3,0.13877551020408163,0.08308311883105644,0.0380833975583415,0.3788085493406094,0.6103980473499085,0.3348659003831418,0.13877551020408163
BERT LLM | MLP + text encoder,735,3,0.1360544217687075,0.07993605115907275,0.03262695965676438,0.04541326067211626,0.018536024764129088,0.3333333333333333,0.1360544217687075
CLIP LLM | MLP + image + text encoder,735,3,0.1360544217687075,0.07984031936127745,0.032587885453582634,0.0453514739229025,0.018510805682817346,0.3333333333333333,0.1360544217687075
BERT LLM | MLP + image encoder,735,3,0.1360544217687075,0.07984031936127745,0.032587885453582634,0.0453514739229025,0.018510805682817346,0.3333333333333333,0.1360544217687075
BERT LLM | MLP + image + text encoder,735,3,0.1360544217687075,0.07984031936127745,0.032587885453582634,0.0453514739229025,0.018510805682817346,0.3333333333333333,0.1360544217687075
BERT standard | MLP + image encoder,735,3,0.1360544217687075,0.07984031936127745,0.032587885453582634,0.0453514739229025,0.018510805682817346,0.3333333333333333,0.1360544217687075
