average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,1,0.6304464397056989,0.35135135135135137,0.3915986172412215,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6304464397056989,0.35135135135135137,0.3915986172412215,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,42
macro,1,0.7622069460032422,0.5855855855855856,0.5821893810949899,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.7622069460032422,0.5855855855855856,0.5821893810949899,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,43
macro,1,0.45088539718169346,0.2882882882882883,0.30081543994587473,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.45088539718169346,0.2882882882882883,0.30081543994587473,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,44
macro,1,0.7012361266990896,0.5315315315315315,0.5625186849508388,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.7012361266990896,0.5315315315315315,0.5625186849508388,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,45
macro,1,0.5779157313879537,0.42342342342342343,0.4572907819571617,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.5779157313879538,0.42342342342342343,0.4572907819571617,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.01,46
macro,1,0.6902925863574012,0.5135135135135135,0.557813227225551,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.6902925863574012,0.5135135135135135,0.557813227225551,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,42
macro,1,0.6713711185933408,0.5135135135135135,0.5292558244381187,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.6713711185933406,0.5135135135135135,0.5292558244381187,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,43
macro,1,0.7185855468262877,0.5135135135135135,0.5441048280516266,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.7185855468262877,0.5135135135135135,0.5441048280516266,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,44
macro,1,0.7644188801596208,0.5855855855855856,0.5914430914430915,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.7644188801596208,0.5855855855855856,0.5914430914430915,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,45
macro,1,0.7361843746103004,0.5765765765765766,0.6064503944938727,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.7361843746103004,0.5765765765765766,0.6064503944938727,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.05,46
macro,1,0.6975877603192417,0.5585585585585585,0.5867324600096978,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.6975877603192417,0.5585585585585585,0.5867324600096978,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.1,42
macro,1,0.7247685185185185,0.5945945945945946,0.6035913631022327,BERT LLM | MLP + image + text encoder,fewshot_adaptation,0.1,43
