epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
1,1.136172890663147,0.7530342000249409,0.5855855855855856,0.4416988416988417,OpenAI CLIP,0.01,42,liver
2,0.7539235949516296,0.7383370744481855,0.6126126126126126,0.5420578473210053,OpenAI CLIP,0.01,42,liver
3,0.4855407476425171,0.7924772415513157,0.6486486486486487,0.5787336987336986,OpenAI CLIP,0.01,42,liver
4,0.23609045147895813,0.8099568212994139,0.6396396396396397,0.5703395703395703,OpenAI CLIP,0.01,42,liver
1,1.209938108921051,0.7809055056740242,0.6306306306306306,0.5454434025862597,OpenAI CLIP,0.05,42,liver
2,0.7067835032939911,0.7992112482853223,0.6306306306306306,0.5627887949869375,OpenAI CLIP,0.05,42,liver
3,0.4281618446111679,0.7673852724778651,0.6216216216216216,0.6024735536930659,OpenAI CLIP,0.05,42,liver
4,0.27700086310505867,0.8284784574136426,0.6486486486486487,0.6326626256500029,OpenAI CLIP,0.05,42,liver
1,0.9385564774274826,0.6935177391195909,0.2702702702702703,0.1640926640926641,OpenAI CLIP,0.1,42,liver
2,0.7730178385972977,0.8079179137049507,0.6756756756756757,0.578485484525753,OpenAI CLIP,0.1,42,liver
3,0.4813227578997612,0.8166464022945504,0.6756756756756757,0.6304391639962109,OpenAI CLIP,0.1,42,liver
4,0.29325463622808456,0.8478262563910711,0.6666666666666666,0.6832533683108396,OpenAI CLIP,0.1,42,liver
1,1.0716607570648193,0.7028775408405039,0.5315315315315315,0.5199573262700953,BiomedCLIP,0.01,42,liver
2,0.5586262345314026,0.7096770170844245,0.5855855855855856,0.5471015471015471,BiomedCLIP,0.01,42,liver
3,0.4484403133392334,0.7142817059483727,0.6216216216216216,0.534750631524825,BiomedCLIP,0.01,42,liver
4,0.18588683009147644,0.7187001184686369,0.6306306306306306,0.5440170008718396,BiomedCLIP,0.01,42,liver
1,1.2118260860443115,0.7228324915824915,0.6126126126126126,0.5177659725722854,BiomedCLIP,0.05,42,liver
2,0.7557024657726288,0.7368219229330341,0.6126126126126126,0.48282289201644046,BiomedCLIP,0.05,42,liver
3,0.83743616938591,0.7479805773787255,0.6216216216216216,0.5067652238704871,BiomedCLIP,0.05,42,liver
4,0.48732176423072815,0.7674039780521262,0.6216216216216216,0.5528314028314029,BiomedCLIP,0.05,42,liver
1,1.4083851277828217,0.7208169659558549,0.6036036036036037,0.46283783783783783,BiomedCLIP,0.1,42,liver
2,0.8811550736427307,0.7403923494201271,0.5585585585585585,0.5237740425710351,BiomedCLIP,0.1,42,liver
3,0.6411284953355789,0.7605974872178575,0.6216216216216216,0.6359771321348334,BiomedCLIP,0.1,42,liver
4,0.5508093386888504,0.7931709065968325,0.6396396396396397,0.5402887359409099,BiomedCLIP,0.1,42,liver
1,0.8876907825469971,0.49411553809701964,0.5945945945945946,0.44342647732478246,CLIP standard | MLP heads only,0.01,42,liver
2,1.218705654144287,0.4273600199526126,0.13513513513513514,0.032175032175032175,CLIP standard | MLP heads only,0.01,42,liver
3,1.0601691007614136,0.432748784137673,0.5585585585585585,0.43922870238659706,CLIP standard | MLP heads only,0.01,42,liver
