model,setting,metric,mean,ci_lower,ci_upper,n_organs
BERT LLM | MLP + image + text encoder,linear_probe,auroc,0.8019329093403168,0.8019329093403168,0.8019329093403168,1
BERT LLM | MLP + image + text encoder,linear_probe,accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
BERT LLM | MLP + image + text encoder,linear_probe,f1_weighted,0.6782579370814664,0.6782579370814664,0.6782579370814664,1
BERT LLM | MLP + image encoder,linear_probe,auroc,0.8132505611672278,0.8132505611672278,0.8132505611672278,1
BERT LLM | MLP + image encoder,linear_probe,accuracy,0.6756756756756757,0.6756756756756757,0.6756756756756757,1
BERT LLM | MLP + image encoder,linear_probe,f1_weighted,0.690564777172636,0.690564777172636,0.690564777172636,1
BERT LLM | MLP + text encoder,linear_probe,auroc,0.8390291806958473,0.8390291806958473,0.8390291806958473,1
BERT LLM | MLP + text encoder,linear_probe,accuracy,0.6756756756756757,0.6756756756756757,0.6756756756756757,1
BERT LLM | MLP + text encoder,linear_probe,f1_weighted,0.6712836712836713,0.6712836712836713,0.6712836712836713,1
BERT LLM | MLP heads only,linear_probe,auroc,0.8597721037535853,0.8597721037535853,0.8597721037535853,1
BERT LLM | MLP heads only,linear_probe,accuracy,0.7117117117117117,0.7117117117117117,0.7117117117117117,1
BERT LLM | MLP heads only,linear_probe,f1_weighted,0.7169816349715445,0.7169816349715445,0.7169816349715445,1
BERT standard | MLP + image + text encoder,linear_probe,auroc,0.7637478176830029,0.7637478176830029,0.7637478176830029,1
BERT standard | MLP + image + text encoder,linear_probe,accuracy,0.6216216216216216,0.6216216216216216,0.6216216216216216,1
BERT standard | MLP + image + text encoder,linear_probe,f1_weighted,0.6358456136109681,0.6358456136109681,0.6358456136109681,1
BERT standard | MLP + image encoder,linear_probe,auroc,0.79275548696845,0.79275548696845,0.79275548696845,1
BERT standard | MLP + image encoder,linear_probe,accuracy,0.6756756756756757,0.6756756756756757,0.6756756756756757,1
BERT standard | MLP + image encoder,linear_probe,f1_weighted,0.6842330652698397,0.6842330652698397,0.6842330652698397,1
BERT standard | MLP + text encoder,linear_probe,auroc,0.8399597830153386,0.8399597830153386,0.8399597830153386,1
BERT standard | MLP + text encoder,linear_probe,accuracy,0.7027027027027027,0.7027027027027027,0.7027027027027027,1
BERT standard | MLP + text encoder,linear_probe,f1_weighted,0.7011579999732699,0.7011579999732699,0.7011579999732699,1
BERT standard | MLP heads only,linear_probe,auroc,0.829472191046265,0.829472191046265,0.829472191046265,1
BERT standard | MLP heads only,linear_probe,accuracy,0.6576576576576577,0.6576576576576577,0.6576576576576577,1
BERT standard | MLP heads only,linear_probe,f1_weighted,0.6555969459195266,0.6555969459195266,0.6555969459195266,1
BiomedCLIP,linear_probe,auroc,0.7292336949744357,0.7292336949744357,0.7292336949744357,1
BiomedCLIP,linear_probe,accuracy,0.6396396396396397,0.6396396396396397,0.6396396396396397,1
BiomedCLIP,linear_probe,f1_weighted,0.6380635103983353,0.6380635103983353,0.6380635103983353,1
CLIP LLM | MLP + image + text encoder,linear_probe,auroc,0.868772602568899,0.868772602568899,0.868772602568899,1
CLIP LLM | MLP + image + text encoder,linear_probe,accuracy,0.7117117117117117,0.7117117117117117,0.7117117117117117,1
CLIP LLM | MLP + image + text encoder,linear_probe,f1_weighted,0.7079937079937081,0.7079937079937081,0.7079937079937081,1
CLIP LLM | MLP + image encoder,linear_probe,auroc,0.8162894375857338,0.8162894375857338,0.8162894375857338,1
CLIP LLM | MLP + image encoder,linear_probe,accuracy,0.6756756756756757,0.6756756756756757,0.6756756756756757,1
CLIP LLM | MLP + image encoder,linear_probe,f1_weighted,0.6853205462589295,0.6853205462589295,0.6853205462589295,1
CLIP LLM | MLP + text encoder,linear_probe,auroc,0.845952581369248,0.845952581369248,0.845952581369248,1
CLIP LLM | MLP + text encoder,linear_probe,accuracy,0.7117117117117117,0.7117117117117117,0.7117117117117117,1
CLIP LLM | MLP + text encoder,linear_probe,f1_weighted,0.7086833328431177,0.7086833328431177,0.7086833328431177,1
CLIP LLM | MLP heads only,linear_probe,auroc,0.8430150268113231,0.8430150268113231,0.8430150268113231,1
