model,image_to_text_R@1,image_to_text_R@5,image_to_text_R@10,text_to_image_R@1,text_to_image_R@5,text_to_image_R@10
CLIP standard | MLP + text encoder,0.018018018018018018,0.09009009009009009,0.1981981981981982,0.018018018018018018,0.13513513513513514,0.2072072072072072
CLIP standard | MLP heads only,0.018018018018018018,0.0990990990990991,0.13513513513513514,0.009009009009009009,0.13513513513513514,0.23423423423423423
BERT standard | MLP + image encoder,0.018018018018018018,0.04504504504504504,0.07207207207207207,0.009009009009009009,0.02702702702702703,0.09009009009009009
BERT standard | MLP heads only,0.018018018018018018,0.036036036036036036,0.04504504504504504,0.0,0.05405405405405406,0.08108108108108109
CLIP LLM | MLP + text encoder,0.009009009009009009,0.04504504504504504,0.09009009009009009,0.018018018018018018,0.07207207207207207,0.10810810810810811
BERT LLM | MLP heads only,0.009009009009009009,0.04504504504504504,0.07207207207207207,0.018018018018018018,0.02702702702702703,0.08108108108108109
BERT LLM | MLP + text encoder,0.009009009009009009,0.06306306306306306,0.09009009009009009,0.018018018018018018,0.036036036036036036,0.07207207207207207
BERT standard | MLP + text encoder,0.009009009009009009,0.04504504504504504,0.0990990990990991,0.018018018018018018,0.04504504504504504,0.06306306306306306
BiomedCLIP,0.009009009009009009,0.09009009009009009,0.17117117117117117,0.009009009009009009,0.05405405405405406,0.11711711711711711
CLIP standard | MLP + image + text encoder,0.009009009009009009,0.02702702702702703,0.09009009009009009,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP LLM | MLP + image + text encoder,0.009009009009009009,0.04504504504504504,0.09009009009009009,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT LLM | MLP + image encoder,0.009009009009009009,0.04504504504504504,0.07207207207207207,0.009009009009009009,0.02702702702702703,0.04504504504504504
BERT LLM | MLP + image + text encoder,0.009009009009009009,0.04504504504504504,0.0990990990990991,0.009009009009009009,0.036036036036036036,0.09009009009009009
BERT standard | MLP + image + text encoder,0.009009009009009009,0.036036036036036036,0.07207207207207207,0.009009009009009009,0.05405405405405406,0.09009009009009009
CLIP standard | MLP + image encoder,0.0,0.0990990990990991,0.1891891891891892,0.02702702702702703,0.10810810810810811,0.25225225225225223
CLIP LLM | MLP heads only,0.0,0.036036036036036036,0.07207207207207207,0.018018018018018018,0.04504504504504504,0.08108108108108109
OpenAI CLIP,0.0,0.05405405405405406,0.13513513513513514,0.009009009009009009,0.06306306306306306,0.13513513513513514
CLIP LLM | MLP + image encoder,0.0,0.02702702702702703,0.08108108108108109,0.009009009009009009,0.06306306306306306,0.11711711711711711
