,,R10_mean,R10_mean,R1_mean,R1_mean,R5_mean,R5_mean
dataset,,liver_holdout,liver_holdout,liver_holdout,liver_holdout,liver_holdout,liver_holdout
direction,,I2T,T2I,I2T,T2I,I2T,T2I
model,fewshot_frac,,,,,,
BERT LLM | MLP + image + text encoder,0.01,0.09009009009009009,0.09009009009009009,0.009009009009009009,0.0,0.04504504504504504,0.05405405405405406
BERT LLM | MLP + image + text encoder,0.05,0.07207207207207207,0.09009009009009009,0.0,0.009009009009009009,0.02702702702702703,0.04504504504504504
BERT LLM | MLP + image + text encoder,0.1,0.08108108108108109,0.09009009009009009,0.009009009009009009,0.018018018018018018,0.05405405405405406,0.04504504504504504
BERT LLM | MLP + image encoder,0.01,0.07207207207207207,0.08108108108108109,0.0,0.009009009009009009,0.009009009009009009,0.036036036036036036
BERT LLM | MLP + image encoder,0.05,0.09009009009009009,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.05405405405405406,0.05405405405405406
BERT LLM | MLP + image encoder,0.1,0.09009009009009009,0.0990990990990991,0.009009009009009009,0.0,0.04504504504504504,0.07207207207207207
BERT LLM | MLP + text encoder,0.01,0.0990990990990991,0.08108108108108109,0.009009009009009009,0.0,0.04504504504504504,0.036036036036036036
BERT LLM | MLP + text encoder,0.05,0.11711711711711711,0.11711711711711711,0.018018018018018018,0.009009009009009009,0.07207207207207207,0.04504504504504504
BERT LLM | MLP + text encoder,0.1,0.09009009009009009,0.11711711711711711,0.018018018018018018,0.009009009009009009,0.04504504504504504,0.04504504504504504
BERT LLM | MLP heads only,0.01,0.11711711711711711,0.0990990990990991,0.009009009009009009,0.036036036036036036,0.04504504504504504,0.05405405405405406
BERT LLM | MLP heads only,0.05,0.09009009009009009,0.0990990990990991,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.04504504504504504
BERT LLM | MLP heads only,0.1,0.09009009009009009,0.06306306306306306,0.009009009009009009,0.0,0.04504504504504504,0.009009009009009009
BERT standard | MLP + image + text encoder,0.01,0.10810810810810811,0.10810810810810811,0.018018018018018018,0.018018018018018018,0.08108108108108109,0.06306306306306306
BERT standard | MLP + image + text encoder,0.05,0.10810810810810811,0.13513513513513514,0.009009009009009009,0.018018018018018018,0.036036036036036036,0.04504504504504504
