average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,3,0.6793457102696191,0.533250276854928,0.5326026454789329,BiomedCLIP,fewshot_adaptation,0.01,42
weighted_by_test_n,3,0.6701458549331815,0.524671052631579,0.5236226102222296,BiomedCLIP,fewshot_adaptation,0.01,42
macro,3,0.666673970672642,0.5159946642504782,0.529109199225378,BiomedCLIP,fewshot_adaptation,0.01,43
weighted_by_test_n,3,0.6244379009506935,0.4934210526315789,0.498386286462665,BiomedCLIP,fewshot_adaptation,0.01,43
macro,3,0.6769247396367667,0.5333333333333333,0.5332092359824098,BiomedCLIP,fewshot_adaptation,0.01,44
weighted_by_test_n,3,0.6645236505759792,0.5279605263157895,0.5249034665370621,BiomedCLIP,fewshot_adaptation,0.01,44
macro,3,0.683159158139819,0.561887143863888,0.5546176962997426,BiomedCLIP,fewshot_adaptation,0.01,45
weighted_by_test_n,3,0.6922314916407675,0.5657894736842105,0.5569660702085093,BiomedCLIP,fewshot_adaptation,0.01,45
macro,3,0.6766858431514007,0.5378485855230042,0.5409517231234732,BiomedCLIP,fewshot_adaptation,0.01,46
weighted_by_test_n,3,0.6597390501751271,0.5328947368421053,0.5307771784929072,BiomedCLIP,fewshot_adaptation,0.01,46
macro,3,0.7180919970337665,0.5909090909090909,0.5893878038112929,BiomedCLIP,fewshot_adaptation,0.05,42
weighted_by_test_n,3,0.7004140252805111,0.5592105263157895,0.5575163840838501,BiomedCLIP,fewshot_adaptation,0.05,42
macro,3,0.7572326989483065,0.6084113560857748,0.6171939178364267,BiomedCLIP,fewshot_adaptation,0.05,43
weighted_by_test_n,3,0.7283318172700604,0.5773026315789473,0.5830722710815445,BiomedCLIP,fewshot_adaptation,0.05,43
macro,3,0.7281057743892414,0.5942489680861774,0.6011185049342335,BiomedCLIP,fewshot_adaptation,0.05,44
weighted_by_test_n,3,0.7124240608174051,0.5657894736842105,0.5709471508954267,BiomedCLIP,fewshot_adaptation,0.05,44
macro,3,0.7276724234458446,0.564315916641498,0.5711820447346719,BiomedCLIP,fewshot_adaptation,0.05,45
weighted_by_test_n,3,0.6987218124268502,0.5394736842105263,0.547351830255933,BiomedCLIP,fewshot_adaptation,0.05,45
macro,3,0.719172291339912,0.5855909594281687,0.5888130723262548,BiomedCLIP,fewshot_adaptation,0.05,46
weighted_by_test_n,3,0.6983521306395015,0.5625,0.5634789541605661,BiomedCLIP,fewshot_adaptation,0.05,46
macro,3,0.7471756014318071,0.6121639987919058,0.6186515418401574,BiomedCLIP,fewshot_adaptation,0.1,42
weighted_by_test_n,3,0.7296958899594292,0.587171052631579,0.5941636055119602,BiomedCLIP,fewshot_adaptation,0.1,42
macro,3,0.7682229202349301,0.6202255109231855,0.6240922826851826,BiomedCLIP,fewshot_adaptation,0.1,43
weighted_by_test_n,3,0.7451874941234113,0.6019736842105263,0.604075830652435,BiomedCLIP,fewshot_adaptation,0.1,43
macro,3,0.756003791072859,0.6166591160777207,0.6235506076876524,BiomedCLIP,fewshot_adaptation,0.1,44
weighted_by_test_n,3,0.7322014035342825,0.600328947368421,0.6032159761399146,BiomedCLIP,fewshot_adaptation,0.1,44
macro,3,0.7628331508714643,0.6149879190576865,0.6136745937659113,BiomedCLIP,fewshot_adaptation,0.1,45
weighted_by_test_n,3,0.738040818089727,0.5888157894736842,0.5922081836902289,BiomedCLIP,fewshot_adaptation,0.1,45
macro,3,0.7557637359044914,0.5718841236283096,0.582000050590137,BiomedCLIP,fewshot_adaptation,0.1,46
weighted_by_test_n,3,0.7405228685988192,0.5641447368421053,0.5730669120030193,BiomedCLIP,fewshot_adaptation,0.1,46
macro,3,0.8631474322952992,0.7165609584214235,0.7087809568424556,MLP + image encoder,fewshot_adaptation,0.01,42
