model,setting,fewshot_frac,average_type,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,n_organs_mean
BiomedCLIP,fewshot_adaptation,0.01,macro,0.6765578843740495,0.006107198515768096,0.5364628007651263,0.01648769321388866,0.5380981000219872,0.010197322880894985,3.0
BiomedCLIP,fewshot_adaptation,0.01,weighted_by_test_n,0.6622155896551497,0.024507435791262088,0.5289473684210526,0.025759960623604222,0.5269311223846745,0.02089710229402631,3.0
BiomedCLIP,fewshot_adaptation,0.05,macro,0.7300550370314142,0.015887497123417808,0.588695258230142,0.016034792096376045,0.593539068728576,0.01700297256204809,3.0
BiomedCLIP,fewshot_adaptation,0.05,weighted_by_test_n,0.7076487692868657,0.01293301446719306,0.5608552631578947,0.013760855699573579,0.5644733180954641,0.013512629274279759,3.0
BiomedCLIP,fewshot_adaptation,0.1,macro,0.7579998399031104,0.0079690146332009,0.6071841336957616,0.01994769187299245,0.6123938153138081,0.017506488966323317,3.0
BiomedCLIP,fewshot_adaptation,0.1,weighted_by_test_n,0.7371296948611339,0.006261417835081057,0.5884868421052631,0.01513694126953095,0.5933461015995116,0.012507499845073562,3.0
MLP + image encoder,fewshot_adaptation,0.01,macro,0.8524340792745081,0.016626182032293355,0.7022918554313903,0.018303386732123412,0.7000937631276949,0.024794080604800154,3.0
MLP + image encoder,fewshot_adaptation,0.01,weighted_by_test_n,0.8527746329880811,0.016064345314505714,0.6973684210526316,0.01763783765586123,0.6989656843978888,0.019675023576243646,3.0
MLP + image encoder,fewshot_adaptation,0.05,macro,0.8693620379741371,0.013792001367388214,0.7331405416289137,0.019957081515258556,0.7342067168477994,0.022134893584267453,3.0
MLP + image encoder,fewshot_adaptation,0.05,weighted_by_test_n,0.8685646810370363,0.008885397085698575,0.7296052631578946,0.01266554165011741,0.7339398857155303,0.01344289614223574,3.0
MLP + image encoder,fewshot_adaptation,0.1,macro,0.8828130458434653,0.006544479766935127,0.7391890667472063,0.016278495661183622,0.7408369451912831,0.013876969903065545,3.0
MLP + image encoder,fewshot_adaptation,0.1,weighted_by_test_n,0.8796501166594728,0.005732105699156898,0.7351973684210527,0.016732721997841975,0.7384664312041022,0.013753188399593587,3.0
MLP + text encoder,fewshot_adaptation,0.01,macro,0.7438466369019103,0.02731493909204611,0.5796144165911608,0.030923680237850675,0.587735724778655,0.032383428653697616,3.0
MLP + text encoder,fewshot_adaptation,0.01,weighted_by_test_n,0.7316449199336109,0.038213951523817805,0.5671052631578947,0.03828034458904408,0.5756079944857383,0.04254164589231401,3.0
MLP + text encoder,fewshot_adaptation,0.05,macro,0.7710424344814891,0.021391926441179276,0.617442867210309,0.020553736567483927,0.6236346088346547,0.016596023746813033,3.0
MLP + text encoder,fewshot_adaptation,0.05,weighted_by_test_n,0.7590723281807688,0.01991900452500348,0.6009868421052632,0.011664883701642852,0.6083298328039546,0.010874580192837217,3.0
MLP + text encoder,fewshot_adaptation,0.1,macro,0.785089046147003,0.006040135665062135,0.6188039867109635,0.028371777024892218,0.6276295605516058,0.023059233298952053,3.0
MLP + text encoder,fewshot_adaptation,0.1,weighted_by_test_n,0.7744995826898303,0.006914585774054697,0.6075657894736841,0.019481628447152666,0.6181918082689541,0.015095929510409742,3.0
MLP heads only,fewshot_adaptation,0.01,macro,0.7090414373613528,0.024642597456255723,0.564190073492399,0.03417148619880197,0.5665947743249087,0.0261915472114689,3.0
MLP heads only,fewshot_adaptation,0.01,weighted_by_test_n,0.6913319965618469,0.034217581182412915,0.5490131578947368,0.03965146369816883,0.5501382312774808,0.03715565276276425,3.0
MLP heads only,fewshot_adaptation,0.05,macro,0.7523432351169258,0.02534031404019181,0.6093410852713179,0.03330264078292093,0.6148141281963422,0.03148175297035519,3.0
MLP heads only,fewshot_adaptation,0.05,weighted_by_test_n,0.7355539642194708,0.030844257349873883,0.5907894736842105,0.03439034220706617,0.5966832755889493,0.0343141078755667,3.0
MLP heads only,fewshot_adaptation,0.1,macro,0.7690256337789314,0.025310389242784656,0.6020109735226014,0.029661315348137585,0.6108987714624557,0.024292045106180365,3.0
MLP heads only,fewshot_adaptation,0.1,weighted_by_test_n,0.7533272425309987,0.02570760578647602,0.5907894736842105,0.018695095050503728,0.6006852063511785,0.015188588251526546,3.0
OpenAI CLIP,fewshot_adaptation,0.01,macro,0.6816177135341949,0.023022104260074373,0.5425072989026477,0.0334055806895315,0.5430292437763186,0.018304230684958393,3.0
OpenAI CLIP,fewshot_adaptation,0.01,weighted_by_test_n,0.6745376316129514,0.013239479093657691,0.5322368421052632,0.02932063469834126,0.5299191671030952,0.021885451647483338,3.0
OpenAI CLIP,fewshot_adaptation,0.05,macro,0.7236174609756181,0.012354080520961826,0.5864703513540723,0.026281940693406676,0.5866278999279693,0.019774559805851508,3.0
OpenAI CLIP,fewshot_adaptation,0.05,weighted_by_test_n,0.7103286530954638,0.016217320083991654,0.5707236842105263,0.030215745182358297,0.5716643221551234,0.025050325596152327,3.0
OpenAI CLIP,fewshot_adaptation,0.1,macro,0.7649436674858808,0.019531225407367982,0.6207983489378839,0.02793611783660003,0.626078104409509,0.024004223308452647,3.0
OpenAI CLIP,fewshot_adaptation,0.1,weighted_by_test_n,0.7415751893837429,0.01965518813253975,0.6029605263157894,0.025943084412013585,0.6065823861706618,0.02349573259518901,3.0
