organ,n_train,n_val,n_test,n_classes,best_c,val_f1_weighted,accuracy,f1_weighted,auroc,n_eval,model,setting,fewshot_frac,seed
breast,10,154,154,3,10.0,0.5335490361116474,0.5974025974025974,0.5932263376325339,0.7765804019808118,154,OpenAI CLIP,fewshot_adaptation,0.01,42
breast,10,154,154,3,10.0,0.49157364374755685,0.5194805194805194,0.5233770837457473,0.7220446310932539,154,OpenAI CLIP,fewshot_adaptation,0.01,43
breast,10,154,154,3,0.1,0.6177724084700829,0.6038961038961039,0.6107269923059396,0.7602196570500038,154,OpenAI CLIP,fewshot_adaptation,0.01,44
breast,10,154,154,3,10.0,0.5101037958180815,0.461038961038961,0.44750117355325436,0.5795174374819348,154,OpenAI CLIP,fewshot_adaptation,0.01,45
breast,10,154,154,3,10.0,0.6037019685748248,0.564935064935065,0.5756990756990757,0.7525747291688045,154,OpenAI CLIP,fewshot_adaptation,0.01,46
breast,37,154,154,3,0.01,0.6366574744070206,0.6363636363636364,0.6435455049655221,0.8028721662534393,154,OpenAI CLIP,fewshot_adaptation,0.05,42
breast,37,154,154,3,0.1,0.6553034833272772,0.6298701298701299,0.6337385968989305,0.77498322435201,154,OpenAI CLIP,fewshot_adaptation,0.05,43
breast,37,154,154,3,0.1,0.5997851772287863,0.6168831168831169,0.6201938087487959,0.7836547944435804,154,OpenAI CLIP,fewshot_adaptation,0.05,44
breast,37,154,154,3,10.0,0.5733866868618642,0.6493506493506493,0.636436356792088,0.761862098102351,154,OpenAI CLIP,fewshot_adaptation,0.05,45
breast,37,154,154,3,0.01,0.6252017436686427,0.5909090909090909,0.6002755644294002,0.7974552808071916,154,OpenAI CLIP,fewshot_adaptation,0.05,46
breast,73,154,154,3,0.01,0.7107427687563356,0.7077922077922078,0.7140279462803565,0.8725332609612243,154,OpenAI CLIP,fewshot_adaptation,0.1,42
breast,73,154,154,3,0.01,0.6641095632591631,0.6558441558441559,0.6581618584276594,0.8279317980149331,154,OpenAI CLIP,fewshot_adaptation,0.1,43
breast,73,154,154,3,0.01,0.6403468024800215,0.6428571428571429,0.6470855676681633,0.8183355111378643,154,OpenAI CLIP,fewshot_adaptation,0.1,44
breast,73,154,154,3,1.0,0.6779606203109529,0.7077922077922078,0.7087904386054091,0.8239971214543163,154,OpenAI CLIP,fewshot_adaptation,0.1,45
breast,73,154,154,3,0.1,0.7117222610554528,0.6688311688311688,0.6734119917349731,0.8096349369568051,154,OpenAI CLIP,fewshot_adaptation,0.1,46
breast,10,154,154,3,0.01,0.6824366110080397,0.6688311688311688,0.6620005714127822,0.7810959481727776,154,BiomedCLIP,fewshot_adaptation,0.01,42
breast,10,154,154,3,0.01,0.5500388725540856,0.551948051948052,0.569093431388666,0.7335173967527879,154,BiomedCLIP,fewshot_adaptation,0.01,43
breast,10,154,154,3,10.0,0.6732315303743874,0.6363636363636364,0.6431858423352905,0.7902438897169893,154,BiomedCLIP,fewshot_adaptation,0.01,44
breast,10,154,154,3,1.0,0.5332856472271273,0.5584415584415584,0.5650618402556387,0.6927797683927949,154,BiomedCLIP,fewshot_adaptation,0.01,45
breast,10,154,154,3,0.1,0.634780344627056,0.577922077922078,0.5937606656158393,0.7948255461320182,154,BiomedCLIP,fewshot_adaptation,0.01,46
breast,37,154,154,3,0.01,0.6488930776223593,0.6363636363636364,0.6367357725331149,0.8041679044095736,154,BiomedCLIP,fewshot_adaptation,0.05,42
breast,37,154,154,3,0.01,0.6971217638481172,0.6623376623376623,0.6698826063501813,0.8372491542971718,154,BiomedCLIP,fewshot_adaptation,0.05,43
breast,37,154,154,3,0.01,0.7188559196280061,0.6558441558441559,0.6613655133133032,0.7905060866859651,154,BiomedCLIP,fewshot_adaptation,0.05,44
breast,37,154,154,3,0.01,0.6398746602234975,0.6558441558441559,0.6599856201355322,0.8296232189520185,154,BiomedCLIP,fewshot_adaptation,0.05,45
breast,37,154,154,3,0.1,0.7027445410608274,0.6753246753246753,0.6719535356712022,0.7956338574874806,154,BiomedCLIP,fewshot_adaptation,0.05,46
breast,73,154,154,3,1.0,0.71418150650871,0.6623376623376623,0.6680257901977359,0.8059019595950406,154,BiomedCLIP,fewshot_adaptation,0.1,42
breast,73,154,154,3,0.01,0.6907464091570131,0.6363636363636364,0.6445811128106701,0.8100049533225168,154,BiomedCLIP,fewshot_adaptation,0.1,43
breast,73,154,154,3,0.01,0.6885138090713003,0.6558441558441559,0.6636182647867912,0.8316333595692514,154,BiomedCLIP,fewshot_adaptation,0.1,44
breast,73,154,154,3,0.01,0.6861456135976116,0.6948051948051948,0.7008427737561091,0.8664225639003877,154,BiomedCLIP,fewshot_adaptation,0.1,45
breast,73,154,154,3,0.01,0.6391341991341991,0.5844155844155844,0.5933484285882239,0.801808499309015,154,BiomedCLIP,fewshot_adaptation,0.1,46
breast,10,154,154,3,0.01,0.6397525793534198,0.512987012987013,0.5248485970675593,0.7516075797236318,154,MLP heads only,fewshot_adaptation,0.01,42
breast,10,154,154,3,0.1,0.5630848280576048,0.4935064935064935,0.5099241509081849,0.7059664897270278,154,MLP heads only,fewshot_adaptation,0.01,43
breast,10,154,154,3,0.01,0.5985065837282585,0.5584415584415584,0.5615337043908472,0.7004352638126172,154,MLP heads only,fewshot_adaptation,0.01,44
breast,10,154,154,3,10.0,0.5711345407312977,0.4935064935064935,0.4900322938340693,0.5774588465176462,154,MLP heads only,fewshot_adaptation,0.01,45
breast,10,154,154,3,0.1,0.6698603683897802,0.6168831168831169,0.5881128675246323,0.7343721272874587,154,MLP heads only,fewshot_adaptation,0.01,46
breast,37,154,154,3,0.01,0.6036487322201608,0.5,0.5101378669490124,0.7007522861511144,154,MLP heads only,fewshot_adaptation,0.05,42
breast,37,154,154,3,0.01,0.6411641586026587,0.551948051948052,0.5604317288937447,0.7779629311280116,154,MLP heads only,fewshot_adaptation,0.05,43
breast,37,154,154,3,0.1,0.586198710422313,0.5844155844155844,0.5852413837107715,0.7221404824094164,154,MLP heads only,fewshot_adaptation,0.05,44
breast,37,154,154,3,10.0,0.6450380155524754,0.6038961038961039,0.6014455945745586,0.7226053968059181,154,MLP heads only,fewshot_adaptation,0.05,45
breast,37,154,154,3,10.0,0.6697003867407822,0.6233766233766234,0.6219651418250149,0.7360542445824652,154,MLP heads only,fewshot_adaptation,0.05,46
breast,73,154,154,3,0.1,0.6636724386724387,0.6103896103896104,0.6138876603272887,0.7701731215018043,154,MLP heads only,fewshot_adaptation,0.1,42
breast,73,154,154,3,0.01,0.6219727675501162,0.538961038961039,0.547015477246602,0.7811004110411369,154,MLP heads only,fewshot_adaptation,0.1,43
breast,73,154,154,3,10.0,0.6676963142708512,0.6298701298701299,0.6306378350713326,0.7620264598989518,154,MLP heads only,fewshot_adaptation,0.1,44
breast,73,154,154,3,0.01,0.6620770533814012,0.5584415584415584,0.5594046108111509,0.7853775395034522,154,MLP heads only,fewshot_adaptation,0.1,45
breast,73,154,154,3,0.01,0.6971632447280373,0.5844155844155844,0.5894187891611931,0.8076026065948776,154,MLP heads only,fewshot_adaptation,0.1,46
breast,10,154,154,3,0.01,0.8118006904019323,0.7727272727272727,0.7725157633740671,0.8919572409194277,154,MLP + image encoder,fewshot_adaptation,0.01,42
breast,10,154,154,3,0.01,0.6300104457367363,0.6753246753246753,0.6810693400371969,0.7955753030207392,154,MLP + image encoder,fewshot_adaptation,0.01,43
breast,10,154,154,3,10.0,0.7423036837634398,0.6818181818181818,0.683767882565016,0.8309171936477577,154,MLP + image encoder,fewshot_adaptation,0.01,44
breast,10,154,154,3,1.0,0.7905346267937067,0.7077922077922078,0.7121079044075046,0.8782016391924179,154,MLP + image encoder,fewshot_adaptation,0.01,45
breast,10,154,154,3,0.1,0.7747782320746903,0.6883116883116883,0.6970861150724299,0.8388080653349587,154,MLP + image encoder,fewshot_adaptation,0.01,46
breast,37,154,154,3,0.01,0.8124562410276696,0.7532467532467533,0.7559451608932294,0.8828685690998482,154,MLP + image encoder,fewshot_adaptation,0.05,42
breast,37,154,154,3,0.1,0.7449836476892385,0.6623376623376623,0.6716480201718087,0.8100889908351778,154,MLP + image encoder,fewshot_adaptation,0.05,43
breast,37,154,154,3,0.01,0.7827088135392781,0.7012987012987013,0.7057375112356316,0.868836019458776,154,MLP + image encoder,fewshot_adaptation,0.05,44
breast,37,154,154,3,0.01,0.8185036199865994,0.7857142857142857,0.7860513010558063,0.9164300423712427,154,MLP + image encoder,fewshot_adaptation,0.05,45
breast,37,154,154,3,0.01,0.7768793930084252,0.7662337662337663,0.7662101737774669,0.8935481284516188,154,MLP + image encoder,fewshot_adaptation,0.05,46
breast,73,154,154,3,0.1,0.8066858748947315,0.7077922077922078,0.7099686642190193,0.8943402363066317,154,MLP + image encoder,fewshot_adaptation,0.1,42
breast,73,154,154,3,0.01,0.7278074866310161,0.7142857142857143,0.7202513024325621,0.8591712735269597,154,MLP + image encoder,fewshot_adaptation,0.1,43
breast,73,154,154,3,0.01,0.7955543925851456,0.7532467532467533,0.7546322373313367,0.8877829485575006,154,MLP + image encoder,fewshot_adaptation,0.1,44
breast,73,154,154,3,0.1,0.82794004667083,0.7857142857142857,0.7873309065475528,0.9204798913207656,154,MLP + image encoder,fewshot_adaptation,0.1,45
breast,73,154,154,3,0.01,0.76917209597966,0.6818181818181818,0.6772200148891558,0.9257823543116063,154,MLP + image encoder,fewshot_adaptation,0.1,46
breast,10,154,154,3,0.01,0.6906023193673796,0.5909090909090909,0.6039971872160251,0.789166684004471,154,MLP + text encoder,fewshot_adaptation,0.01,42
breast,10,154,154,3,10.0,0.5430432175162854,0.5194805194805194,0.5313666592916898,0.7448640942419565,154,MLP + text encoder,fewshot_adaptation,0.01,43
breast,10,154,154,3,0.01,0.6091071687483172,0.5454545454545454,0.5482173285017365,0.6937517941688792,154,MLP + text encoder,fewshot_adaptation,0.01,44
breast,10,154,154,3,0.01,0.6431531386723094,0.6038961038961039,0.6072491656642505,0.7112277243009367,154,MLP + text encoder,fewshot_adaptation,0.01,45
breast,10,154,154,3,0.01,0.6812543907809835,0.6233766233766234,0.6353200371057515,0.7458951020526667,154,MLP + text encoder,fewshot_adaptation,0.01,46
breast,37,154,154,3,10.0,0.6466313916588106,0.538961038961039,0.5427690433480821,0.725164477284009,154,MLP + text encoder,fewshot_adaptation,0.05,42
breast,37,154,154,3,10.0,0.6538261738261739,0.577922077922078,0.5856086579050251,0.7753404127996016,154,MLP + text encoder,fewshot_adaptation,0.05,43
breast,37,154,154,3,0.1,0.5979650305876502,0.6233766233766234,0.6257352743468929,0.7522594782249521,154,MLP + text encoder,fewshot_adaptation,0.05,44
breast,37,154,154,3,10.0,0.7118572814123165,0.6688311688311688,0.663755865433334,0.7993294839293835,154,MLP + text encoder,fewshot_adaptation,0.05,45
breast,37,154,154,3,0.01,0.7193033211132759,0.6233766233766234,0.6273624749234507,0.7801272403822498,154,MLP + text encoder,fewshot_adaptation,0.05,46
breast,73,154,154,3,10.0,0.6413852969505907,0.5844155844155844,0.5868858158396728,0.7755363226411388,154,MLP + text encoder,fewshot_adaptation,0.1,42
breast,73,154,154,3,0.1,0.6426133305564322,0.564935064935065,0.574102610065634,0.7742894391849187,154,MLP + text encoder,fewshot_adaptation,0.1,43
breast,73,154,154,3,0.01,0.6616278357901495,0.6623376623376623,0.6643561813951372,0.8289874028803794,154,MLP + text encoder,fewshot_adaptation,0.1,44
breast,73,154,154,3,10.0,0.6806819073680794,0.6298701298701299,0.6302271047650871,0.7737932767756527,154,MLP + text encoder,fewshot_adaptation,0.1,45
