model,setting,fewshot_frac,organ,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,n_train_mean,n_test_mean,n_classes_mean
BiomedCLIP,fewshot_adaptation,0.01,breast,0.7584925098334736,0.044105203029177684,0.5987012987012987,0.05141774777877702,0.6066204702016433,0.0438883668768639,10.0,154.0,3.0
BiomedCLIP,fewshot_adaptation,0.01,liver,0.6472952192108037,0.044013820150454415,0.5054545454545455,0.048786937690904524,0.5114753310875917,0.05243446163984601,7.0,110.0,3.0
BiomedCLIP,fewshot_adaptation,0.01,thyroid,0.6238859240778712,0.05750255578690279,0.5052325581395349,0.04500653458954453,0.4961984987767267,0.04213435073537959,18.0,344.0,3.0
BiomedCLIP,fewshot_adaptation,0.05,breast,0.811436044366442,0.020842792883866246,0.6571428571428571,0.014077586616025203,0.6599846096006667,0.013996792954224112,37.0,154.0,3.0
BiomedCLIP,fewshot_adaptation,0.05,liver,0.7221944361554751,0.027241919388177223,0.6054545454545455,0.03993796842997962,0.6151088277851346,0.040616707814873726,27.0,110.0,3.0
BiomedCLIP,fewshot_adaptation,0.05,thyroid,0.6565346305723256,0.016210809608838427,0.5034883720930232,0.013225945541950385,0.5055237687999264,0.010477364826584606,81.0,344.0,3.0
BiomedCLIP,fewshot_adaptation,0.1,breast,0.8231542671392423,0.02678725856988541,0.6467532467532467,0.040707605243266186,0.654083274027906,0.03953091555709986,73.0,154.0,3.0
BiomedCLIP,fewshot_adaptation,0.1,liver,0.7593233741366858,0.02057121071557936,0.6236363636363637,0.026967994498529654,0.6280348955813881,0.02883971157677497,53.0,110.0,3.0
BiomedCLIP,fewshot_adaptation,0.1,thyroid,0.691521878433403,0.012545509203180094,0.5511627906976744,0.01690051378342869,0.5550632763321303,0.011319041861336443,161.0,344.0,3.0
MLP + image encoder,fewshot_adaptation,0.01,breast,0.8470918884230603,0.038616439164877246,0.7051948051948052,0.03965826359637004,0.7093094010912429,0.03742377182987538,10.0,154.0,3.0
MLP + image encoder,fewshot_adaptation,0.01,liver,0.8558868980946903,0.04054709962343215,0.7127272727272727,0.05004130525281048,0.6955420565236266,0.0779746292691383,7.0,110.0,3.0
MLP + image encoder,fewshot_adaptation,0.01,thyroid,0.8543234513057735,0.018621443626020973,0.688953488372093,0.02695819330085958,0.6954298317682153,0.02695650859964046,18.0,344.0,3.0
MLP + image encoder,fewshot_adaptation,0.05,breast,0.8743543500433327,0.0399116064171667,0.7337662337662338,0.05071590698640686,0.7371184334267886,0.047080616625823836,37.0,154.0,3.0
MLP + image encoder,fewshot_adaptation,0.05,liver,0.8673802162844371,0.03213177466628908,0.7418181818181818,0.05514818504764769,0.7325358073538322,0.05922856759837674,27.0,110.0,3.0
MLP + image encoder,fewshot_adaptation,0.05,thyroid,0.8663515475946417,0.0059582312470842745,0.7238372093023255,0.014534883720930187,0.7329659097627773,0.009290323810083214,81.0,344.0,3.0
MLP + image encoder,fewshot_adaptation,0.1,breast,0.8975113408046929,0.026932614038705137,0.7285714285714285,0.04091424416109965,0.7298806250839254,0.042354241391480765,73.0,154.0,3.0
MLP + image encoder,fewshot_adaptation,0.1,liver,0.8790967420025861,0.01839714525569182,0.7581818181818182,0.029176011883420422,0.7558923867494199,0.027797566615084653,53.0,110.0,3.0
MLP + image encoder,fewshot_adaptation,0.1,thyroid,0.8718310547231173,0.012134267185401712,0.7308139534883721,0.019565486826120738,0.7367378237405042,0.015290430234092545,161.0,344.0,3.0
MLP + text encoder,fewshot_adaptation,0.01,breast,0.736981079753782,0.03673195288586284,0.5766233766233766,0.04292595813256733,0.5852300755558907,0.04363845813464292,10.0,154.0,3.0
MLP + text encoder,fewshot_adaptation,0.01,liver,0.7811248410680228,0.03470171867636392,0.6145454545454545,0.023706190564373265,0.621281593883008,0.02074224611939989,7.0,110.0,3.0
