average_type,n_organs,auroc,accuracy,f1_weighted,model,setting
macro,1,0.9043438669603868,0.7467532467532467,0.7482397150476957,OpenAI CLIP,linear_probe
weighted_by_test_n,1,0.9043438669603868,0.7467532467532467,0.7482397150476957,OpenAI CLIP,linear_probe
macro,1,0.8935012914019418,0.7207792207792207,0.7266609555113211,BiomedCLIP,linear_probe
weighted_by_test_n,1,0.8935012914019419,0.7207792207792207,0.7266609555113211,BiomedCLIP,linear_probe
macro,1,0.8782535174290774,0.6753246753246753,0.6755139243618508,MLP heads only,linear_probe
weighted_by_test_n,1,0.8782535174290775,0.6753246753246753,0.6755139243618508,MLP heads only,linear_probe
macro,1,0.9130329611641413,0.7012987012987013,0.7049951744095042,MLP + image encoder,linear_probe
weighted_by_test_n,1,0.9130329611641413,0.7012987012987013,0.7049951744095042,MLP + image encoder,linear_probe
macro,1,0.8653785374557107,0.6623376623376623,0.6671713143346945,MLP + text encoder,linear_probe
weighted_by_test_n,1,0.8653785374557108,0.6623376623376623,0.6671713143346945,MLP + text encoder,linear_probe
