model,setting,metric,mean,ci_lower,ci_upper,n_organs
BiomedCLIP,linear_probe,auroc,0.8292501095186657,0.7872763156115289,0.8935012914019418,3
BiomedCLIP,linear_probe,accuracy,0.676341487969395,0.6454545454545455,0.7207792207792206,3
BiomedCLIP,linear_probe,f1_weighted,0.6827779227780266,0.6472014260249556,0.7266609555113211,3
MLP + image encoder,linear_probe,auroc,0.8969328818643207,0.8850968453314104,0.9130329611641413,3
MLP + image encoder,linear_probe,accuracy,0.7355280378536193,0.7012987012987013,0.7727272727272728,3
MLP + image encoder,linear_probe,f1_weighted,0.7418346811856179,0.7049951744095043,0.7742664114706025,3
MLP + text encoder,linear_probe,auroc,0.8317970936508225,0.8010580582109029,0.8653785374557107,3
MLP + text encoder,linear_probe,accuracy,0.6465720326185442,0.6046511627906976,0.6727272727272727,3
MLP + text encoder,linear_probe,f1_weighted,0.6591654632137017,0.6287608133917538,0.681564261914657,3
MLP heads only,linear_probe,auroc,0.8435174481208069,0.7940544153204252,0.8782535174290774,3
MLP heads only,linear_probe,accuracy,0.6689595288432497,0.6133720930232558,0.7181818181818181,3
MLP heads only,linear_probe,f1_weighted,0.679761799946566,0.635138359959486,0.7286331155183615,3
OpenAI CLIP,linear_probe,auroc,0.8532899184787919,0.7985623703923407,0.9043438669603868,3
OpenAI CLIP,linear_probe,accuracy,0.7139635558240208,0.686046511627907,0.7467532467532467,3
OpenAI CLIP,linear_probe,f1_weighted,0.7213899067485267,0.6988976123034222,0.7482397150476957,3
