organ,n_train,n_val,n_test,n_classes,best_c,val_f1_weighted,accuracy,f1_weighted,auroc,n_eval,model,setting
breast,720,154,154,3,0.1,0.808849290244639,0.7467532467532467,0.7482397150476957,0.9043438669603868,154,OpenAI CLIP,linear_probe
liver,514,111,110,3,0.01,0.6921399594216592,0.7090909090909091,0.7170323928944619,0.856963518083648,110,OpenAI CLIP,linear_probe
thyroid,1602,343,344,3,0.01,0.6655745919155727,0.686046511627907,0.6988976123034222,0.7985623703923407,344,OpenAI CLIP,linear_probe
breast,720,154,154,3,1.0,0.7535895781237396,0.7207792207792207,0.7266609555113211,0.8935012914019418,154,BiomedCLIP,linear_probe
liver,514,111,110,3,0.1,0.6904550664151733,0.6454545454545455,0.6472014260249556,0.8069727215425267,110,BiomedCLIP,linear_probe
thyroid,1602,343,344,3,10.0,0.6596592189580797,0.6627906976744186,0.674471386797803,0.7872763156115289,344,BiomedCLIP,linear_probe
breast,720,154,154,3,0.01,0.6625266844586116,0.6753246753246753,0.6755139243618508,0.8782535174290774,154,MLP heads only,linear_probe
liver,514,111,110,3,10.0,0.712737816186092,0.7181818181818181,0.7286331155183615,0.8582444116129181,110,MLP heads only,linear_probe
thyroid,1602,343,344,3,0.01,0.6340221835117339,0.6133720930232558,0.635138359959486,0.7940544153204252,344,MLP heads only,linear_probe
breast,720,154,154,3,1.0,0.8247524898127307,0.7012987012987013,0.7049951744095042,0.9130329611641413,154,MLP + image encoder,linear_probe
liver,514,111,110,3,0.1,0.7758131265593953,0.7727272727272727,0.7742664114706025,0.8926688390974106,110,MLP + image encoder,linear_probe
thyroid,1602,343,344,3,1.0,0.7680700078723782,0.7325581395348837,0.7462424576767469,0.8850968453314104,344,MLP + image encoder,linear_probe
breast,720,154,154,3,10.0,0.7616439669595816,0.6623376623376623,0.6671713143346945,0.8653785374557107,154,MLP + text encoder,linear_probe
liver,514,111,110,3,10.0,0.7678510808945591,0.6727272727272727,0.681564261914657,0.8289546852858541,110,MLP + text encoder,linear_probe
thyroid,1602,343,344,3,0.01,0.6565538264284608,0.6046511627906976,0.6287608133917538,0.8010580582109029,344,MLP + text encoder,linear_probe
