group_type,group_name,model,accuracy,n_samples,n_labels,labels
dataset,AULI_resized_images,OpenAI CLIP,0.5909090909090909,110,3,"benign, malignant, normal"
dataset,AULI_resized_images,BiomedCLIP,0.509090909090909,110,3,"benign, malignant, normal"
dataset,AULI_resized_images,MLP heads only,0.18181818181818182,110,3,"benign, malignant, normal"
dataset,AULI_resized_images,MLP + image encoder,0.6727272727272727,110,3,"benign, malignant, normal"
dataset,AULI_resized_images,MLP + text encoder,0.15454545454545454,110,3,"benign, malignant, normal"
dataset,BrEaST-Lesions_USG-images_and_masks,OpenAI CLIP,0.6216216216216216,37,2,"benign, malignant"
dataset,BrEaST-Lesions_USG-images_and_masks,BiomedCLIP,0.4864864864864865,37,2,"benign, malignant"
dataset,BrEaST-Lesions_USG-images_and_masks,MLP heads only,0.6756756756756757,37,2,"benign, malignant"
dataset,BrEaST-Lesions_USG-images_and_masks,MLP + image encoder,0.7027027027027027,37,2,"benign, malignant"
dataset,BrEaST-Lesions_USG-images_and_masks,MLP + text encoder,0.6756756756756757,37,2,"benign, malignant"
dataset,Dataset_BUSI_with_GT,OpenAI CLIP,0.38461538461538464,117,3,"benign, malignant, normal"
dataset,Dataset_BUSI_with_GT,BiomedCLIP,0.36752136752136755,117,3,"benign, malignant, normal"
dataset,Dataset_BUSI_with_GT,MLP heads only,0.7264957264957265,117,3,"benign, malignant, normal"
dataset,Dataset_BUSI_with_GT,MLP + image encoder,0.8803418803418803,117,3,"benign, malignant, normal"
dataset,Dataset_BUSI_with_GT,MLP + text encoder,0.7435897435897436,117,3,"benign, malignant, normal"
dataset,dataset_thyroid_resized_png,OpenAI CLIP,0.3226744186046512,344,3,"benign, malignant, normal"
dataset,dataset_thyroid_resized_png,BiomedCLIP,0.3023255813953488,344,3,"benign, malignant, normal"
dataset,dataset_thyroid_resized_png,MLP heads only,0.311046511627907,344,3,"benign, malignant, normal"
dataset,dataset_thyroid_resized_png,MLP + image encoder,0.6191860465116279,344,3,"benign, malignant, normal"
dataset,dataset_thyroid_resized_png,MLP + text encoder,0.30523255813953487,344,3,"benign, malignant, normal"
