group_type,group_name,model,accuracy,n_samples,n_labels,labels
organ,breast,OpenAI CLIP,0.4090909090909091,154,3,"benign, malignant, normal"
organ,breast,BiomedCLIP,0.35064935064935066,154,3,"benign, malignant, normal"
organ,breast,MLP heads only,0.6038961038961039,154,3,"benign, malignant, normal"
organ,breast,MLP + image encoder,0.6883116883116883,154,3,"benign, malignant, normal"
organ,breast,MLP + text encoder,0.6233766233766234,154,3,"benign, malignant, normal"
organ,liver,OpenAI CLIP,0.5909090909090909,110,3,"benign, malignant, normal"
organ,liver,BiomedCLIP,0.509090909090909,110,3,"benign, malignant, normal"
organ,liver,MLP heads only,0.18181818181818182,110,3,"benign, malignant, normal"
organ,liver,MLP + image encoder,0.6727272727272727,110,3,"benign, malignant, normal"
organ,liver,MLP + text encoder,0.15454545454545454,110,3,"benign, malignant, normal"
organ,thyroid,OpenAI CLIP,0.3226744186046512,344,3,"benign, malignant, normal"
organ,thyroid,BiomedCLIP,0.3023255813953488,344,3,"benign, malignant, normal"
organ,thyroid,MLP heads only,0.311046511627907,344,3,"benign, malignant, normal"
organ,thyroid,MLP + image encoder,0.6191860465116279,344,3,"benign, malignant, normal"
organ,thyroid,MLP + text encoder,0.30523255813953487,344,3,"benign, malignant, normal"
