average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.005,0.7695268754227708,0.0058151011636611415,0.5868945868945868,0.021509499815586173,0.6060572345752432,0.028535664185488602
macro,0.01,0.7607875728371217,0.012243849215396122,0.6894586894586894,0.03001610755798496,0.6845901843812948,0.018154976299940367
macro,0.02,0.7643280680220584,0.005701422344704002,0.7207977207977209,0.013055771210700446,0.6990973805061719,0.01355279592901144
macro,0.05,0.7655672672400119,0.004592545343484005,0.715099715099715,0.027474788492857456,0.6976523086747702,0.011178390162865572
macro,0.1,0.7657652710002861,0.007282507382784461,0.7321937321937323,0.009869235370762846,0.7016027307909175,0.016776188864219874
macro,0.15,0.7678185565756918,0.00986747762118082,0.7207977207977209,0.013055771210700397,0.6976443381896429,0.01281265664526289
macro,0.2,0.7669008961291989,0.012962587282260492,0.7122507122507122,0.04216139198560893,0.6855073120887059,0.056921063523882015
macro,0.3,0.7713337502925094,0.01036894650635463,0.717948717948718,0.017094017094017144,0.6962208639060642,0.02433971731122517
weighted_by_test_n,0.005,0.7695268754227708,0.0058151011636611415,0.5868945868945868,0.021509499815586173,0.6060572345752432,0.028535664185488602
weighted_by_test_n,0.01,0.7607875728371217,0.012243849215396122,0.6894586894586894,0.03001610755798496,0.6845901843812948,0.018154976299940367
weighted_by_test_n,0.02,0.7643280680220584,0.005701422344704002,0.7207977207977209,0.013055771210700446,0.6990973805061719,0.01355279592901144
weighted_by_test_n,0.05,0.7655672672400119,0.004592545343484005,0.715099715099715,0.027474788492857456,0.6976523086747702,0.011178390162865572
weighted_by_test_n,0.1,0.7657652710002861,0.007282507382784461,0.7321937321937323,0.009869235370762846,0.7016027307909175,0.016776188864219874
weighted_by_test_n,0.15,0.7678185565756918,0.00986747762118082,0.7207977207977209,0.013055771210700397,0.6976443381896429,0.01281265664526289
weighted_by_test_n,0.2,0.7669008961291987,0.012962587282260473,0.7122507122507122,0.04216139198560893,0.6855073120887059,0.056921063523882015
weighted_by_test_n,0.3,0.7713337502925094,0.01036894650635463,0.717948717948718,0.017094017094017144,0.6962208639060642,0.02433971731122517
