accuracy,f1_weighted,auroc,n_eval,organ,fewshot_frac,seed,n_train
0.5384615384615384,0.5492326599512086,0.7860945653430277,117,breast,0.005,42,6
0.6410256410256411,0.665917549975521,0.7830003901735276,117,breast,0.005,43,6
0.6324786324786325,0.6333488288375506,0.7702891888512428,117,breast,0.005,44,6
0.5299145299145299,0.54660620183496,0.7869661102721545,117,breast,0.01,42,8
0.7008547008547008,0.6956867019620057,0.7853917338964506,117,breast,0.01,43,8
0.717948717948718,0.6621896621896622,0.7696735767290436,117,breast,0.01,44,8
0.6752136752136753,0.6633712131307395,0.7698673838989646,117,breast,0.02,42,12
0.7606837606837606,0.7156645267964842,0.7922684429140734,117,breast,0.02,43,12
0.7264957264957265,0.6795262376731019,0.7747756490601443,117,breast,0.02,44,12
0.7435897435897436,0.7035986268032459,0.7800085081763802,117,breast,0.05,42,29
0.7606837606837606,0.7156645267964842,0.7871443922517273,117,breast,0.05,43,29
0.717948717948718,0.6694547282782576,0.7682916503019969,117,breast,0.05,44,29
0.7692307692307693,0.7107299409186202,0.781206069035858,117,breast,0.1,42,56
0.7435897435897436,0.7129741644509577,0.7799299514701348,117,breast,0.1,43,56
0.7350427350427351,0.6874459060909229,0.7784756363277014,117,breast,0.1,44,56
0.717948717948718,0.6592828604662924,0.7736825594895574,117,breast,0.15,42,83
0.7606837606837606,0.7034172960098886,0.7880395578834021,117,breast,0.15,43,83
0.7435897435897436,0.683089133089133,0.7647524078994606,117,breast,0.15,44,83
0.7692307692307693,0.7259119685468576,0.7826781947310173,117,breast,0.2,42,110
0.7692307692307693,0.7119973847662635,0.786746334896668,117,breast,0.2,43,110
0.7521367521367521,0.6925094005051736,0.7809997251370442,117,breast,0.2,44,110
0.7350427350427351,0.7045763861050485,0.7868612805614732,117,breast,0.3,42,165
0.7692307692307693,0.7119973847662635,0.7935611184437067,117,breast,0.3,43,165
0.7606837606837606,0.7005698005698006,0.7723338955338334,117,breast,0.3,44,165
